time,FLOW,TEMP,SALT,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,CAR_dic,CAR_ch4,SIL_rsi
2013-05-15,0.016,15.6645,0,292.2598,0.388,0.9032,0.1264,16.6528,149.8751,16.6528,1.1442,10.2976,2.2884,0.0176,0.1581,0.4099,64.7434,0.0102,120.9013
2013-05-16,0.015,15.3409,0,294.2972,0.379,0.9164,0.1271,16.6488,149.8395,16.6488,1.1429,10.2863,2.2858,0.0445,0.4007,1.0389,64.7557,0.0108,120.9013
2013-05-17,0.0141,15.2883,0,294.6308,0.37,0.9295,0.1278,16.6449,149.804,16.6449,1.1417,10.275,2.2833,0.0421,0.3786,0.9816,64.768,0.0113,120.9013
2013-05-18,0.017,14.9034,0,297.0926,0.361,0.9426,0.1286,16.6409,149.7684,16.6409,1.1404,10.2637,2.2808,0.0396,0.3565,0.9242,64.7802,0.0118,120.9013
2013-05-19,0.0241,14.6352,0,298.83,0.3519,0.9557,0.1293,16.637,149.7328,16.637,1.1391,10.2523,2.2783,0.0372,0.3344,0.8669,64.7925,0.0124,120.9013
2013-05-20,0.0385,14.3989,0,300.376,0.3429,0.9689,0.13,16.633,149.6972,16.633,1.1379,10.241,2.2758,0.0347,0.3122,0.8095,64.8048,0.013,120.9013
2013-05-21,0.0264,15.2562,0,294.8347,0.3339,0.982,0.1308,16.6291,149.6617,16.6291,1.1366,10.2297,2.2733,0.0322,0.2901,0.7522,64.8171,0.0135,120.9013
2013-05-22,0.0204,16.0264,0,290.0111,0.3249,0.9951,0.1315,16.6251,149.6261,16.6251,1.1354,10.2184,2.2707,0.0298,0.268,0.6948,64.8294,0.0141,120.9013
2013-05-23,0.0197,15.6816,0,292.1532,0.3158,1.0083,0.1322,16.6212,149.5905,16.6212,1.1341,10.207,2.2682,0.0273,0.2459,0.6375,64.8416,0.0146,120.9013
2013-05-24,0.0186,13.7595,0,304.6305,0.3068,1.0214,0.133,16.6172,149.555,16.6172,1.1329,10.1957,2.2657,0.0279,0.2509,0.6505,64.8539,0.0151,120.9013
