"DateTime","Depth","CAR_pCO2","CAR_ch4"
2015-03-31,0.1,2.80250132153134e-05,0.067583484
2015-03-31,1.6,3.02675522514626e-05,0.069565417
2015-03-31,3.8,4.79469213179107e-05,0.072427429
2015-03-31,5,5.33710723110442e-05,0.06799593
2015-03-31,6.2,5.54381898736589e-05,0.060762289
2015-03-31,8,0.000140984105290572,0.023887925
2015-03-31,9,0.000138547486295583,0.033123988
2015-04-07,0.1,3.13021389592901e-05,0.006145841
2015-04-07,1.6,3.81008470059899e-05,0.103644874
2015-04-07,3.8,5.03552136809142e-05,0.124898943
2015-04-07,5,5.86847441101181e-05,0.044343269
2015-04-07,6.2,0.000152748194065972,0.027104599
2015-04-07,8,0.000147948123812972,0.022061956
2015-04-07,9,0.000145536072533364,0.036024573
2015-04-13,0.1,7.80867951991666e-05,0.179576596
2015-04-13,1.6,4.22042423029772e-05,0.193236302
2015-04-13,3.8,5.69209202761845e-05,0.096140334
2015-04-13,5,8.23914910659273e-05,0.036708328
2015-04-13,6.2,0.000113380989163507,0.041555333
2015-04-13,8,0.000146381367138619,0.05719717
2015-04-13,9,0.000163123004871976,0.064962983
2015-04-21,0.1,NA,0.2393179615
2015-04-21,1.6,3.90937005862886e-05,0.25303748
2015-04-21,3.8,8.56532719572384e-05,0.09998738
2015-04-21,5,0.000104037604172622,0.089796948
2015-04-21,6.2,NA,0.117685186
2015-04-21,8,0.000153581563605643,0.141159046
2015-04-21,9,0.000163837465953338,0.114283283
2015-04-28,0.1,5.78257502969555e-05,0.161834734
2015-04-28,1.6,5.91078185681346e-05,0.175045199
2015-04-28,3.8,4.61825053515508e-05,0.175658069
2015-04-28,5,0.000151106702730085,0.0453560225
2015-04-28,6.2,0.000171503587047659,0.029341202
2015-04-28,8,0.000306711583868488,0.0221445975
2015-04-28,9,0.000229038978806588,0.0490244985
2015-05-05,0.1,2.80265037969015e-05,0.2321463425
2015-05-05,1.6,3.49575633928515e-05,0.2289358995
2015-05-05,3.8,5.46617461459306e-05,0.2414858485
2015-05-05,5,8.55963050320458e-05,0.14569953
2015-05-05,6.2,0.000180299040547923,0.030393907
