"DateTime","Depth","temp","OXY_oxy"
2013-05-16,0.1,18.3691,270.3559375
2013-05-16,1,16.8125,272.6409375
2013-05-16,2,14.3444,265.4790625
2013-05-16,3,12.599,261.6859375
2013-05-16,4,10.5329,254.7459375
2013-05-16,5,8.383,231.4071875
2013-05-16,6,8.1063,232.0371875
2013-05-16,7,8.0174,225.4528125
2013-05-16,8,7.9723,219.544375
2013-05-16,9,7.9523,215.4846875
2013-05-16,9.2,7.9491,214.2728125
2013-05-21,0.1,18.9194,285.116875
2013-05-21,1,17.4362,277.6278125
2013-05-21,2,15.1035,272.0940625
2013-05-21,3,13.5105,250.6659375
2013-05-21,4,11.1806,245.490625
2013-05-21,5,8.8232,273.1425
2013-05-21,6,8.6623,281.8615625
2013-05-21,7,8.6405,280.00375
2013-05-21,8,8.6389,281.7121875
2013-05-21,9,8.5793,276.233125
2013-05-21,9.2,8.5808,277.2584375
2013-05-23,0.1,21.0439,277.14125
2013-05-23,1,18.9733,285.5065625
2013-05-23,2,15.155,271.30875
2013-05-23,3,13.0946,245.393125
2013-05-23,4,9.7319,226.8540625
2013-05-23,5,8.7984,290.8721875
2013-05-23,6,8.7454,289.1778125
2013-05-23,7,8.7063,287.194375
2013-05-23,8,8.6967,287.1496875
2013-05-23,9,8.6999,289.038125
2013-05-23,9.2,8.6967,288.7565625
2013-05-30,0.1,22.1139,269.9453125
2013-05-30,1,20.1045,302.31625
2013-05-30,2,17.4293,326.6665625
2013-05-30,3,14.3122,276.649375
2013-05-30,4,10.4886,237.4715625
2013-05-30,5,9.3129,329.433125
2013-05-30,6,9.2378,331.16
2013-05-30,7,9.2088,329.669375
2013-05-30,8,9.1933,329.71375
2013-05-30,9,9.1663,318.97375
2013-05-30,9.2,9.1481,307.3715625
2013-06-04,0.1,23.6841,262.6521875
2013-06-04,1,22.9911,264.1165625
2013-06-04,2,18.5316,339.53
2013-06-04,3,14.8309,279.046875
2013-06-04,4,10.9825,253.9165625
2013-06-04,5,9.5937,348.1484375
2013-06-04,6,9.5137,351.846875
2013-06-04,7,9.4918,352.4346875
2013-06-04,8,9.4638,347.7359375
2013-06-04,9,9.4483,345.534375
2013-06-04,9.2,9.4378,342.300625
2013-06-06,0.1,21.9342,207.54875
2013-06-06,1,22.1384,262.829375
2013-06-06,2,19.1041,338.540625
2013-06-06,3,14.7292,264.976875
2013-06-06,4,10.6863,283.1890625
2013-06-06,5,9.6415,363.4459375
2013-06-06,6,9.6125,364.399375
2013-06-06,7,9.5995,363.873125
2013-06-06,8,9.587,363.4875
2013-06-06,9,9.5774,361.53125
2013-06-06,9.2,9.564,355.5090625
2013-06-13,0.1,23.6155,280.2028125
2013-06-13,1,21.2973,322.39375
2013-06-13,2,17.8329,313.4378125
2013-06-13,3,15.0406,257.846875
2013-06-13,4,11.1132,266.5840625
2013-06-13,5,9.9824,382.9490625
2013-06-13,6,9.9076,385.625
2013-06-13,7,9.899,384.6440625
2013-06-13,8,9.8665,379.85375
2013-06-13,9,9.8544,376.6003125
