"DateTime","Depth","PHY_TCHLA"
2013-05-16,0.1,0.98
2013-05-16,1,2.1345
2013-05-16,2,2.3844
2013-05-16,3,3.0073
2013-05-16,4,3.8444
2013-05-16,5,1.6306
2013-05-16,6,1.0672
2013-05-16,7,0.9205
2013-05-16,8,0.8689
2013-05-16,9,0.7776
2013-05-16,9.2,0.9165
2013-05-21,0.1,1.4481
2013-05-21,1,3.4794
2013-05-21,2,3.9079
2013-05-21,3,3.8325
2013-05-21,4,4.0388
2013-05-21,5,3.3326
2013-05-21,6,2.0035
2013-05-21,7,2.075
2013-05-21,8,2.071
2013-05-21,9,2.0789
2013-05-21,9.2,1.9361
2013-05-23,0.1,2.5907
2013-05-23,1,3.0112
2013-05-23,2,4.7688
2013-05-23,3,4.9592
2013-05-23,4,5.0108
2013-05-23,5,3.0866
2013-05-23,6,2.6661
2013-05-23,7,2.3368
2013-05-23,8,2.3844
2013-05-23,9,2.19
2013-05-23,9.2,2.1424
2013-05-30,0.1,1.5116
2013-05-30,1,1.7417
2013-05-30,2,2.8407
2013-05-30,3,4.9592
2013-05-30,4,7.4428
2013-05-30,5,5.1258
2013-05-30,6,4.015
2013-05-30,7,4.0507
2013-05-30,8,4.0824
2013-05-30,9,4.1023
2013-05-30,9.2,4.3006
2013-06-04,0.1,1.8131
2013-06-04,1,2.7811
2013-06-04,2,3.7769
2013-06-04,3,5.4353
2013-06-04,4,6.8754
2013-06-04,5,3.8444
2013-06-04,6,3.2096
2013-06-04,7,3.1342
2013-06-04,8,3.0271
2013-06-04,9,3.3485
2013-06-04,9.2,3.2771
2013-06-06,0.1,1.095
2013-06-06,1,1.0474
2013-06-06,2,4.5387
2013-06-06,3,6.0423
2013-06-06,4,6.566
2013-06-06,5,3.6143
2013-06-06,6,3.7849
2013-06-06,7,3.1937
2013-06-06,8,3.1461
2013-06-06,9,3.1382
2013-06-06,9.2,3.162
2013-06-13,0.1,2.3249
2013-06-13,1,2.6383
2013-06-13,2,4.5228
2013-06-13,3,7.9268
2013-06-13,4,8.4902
2013-06-13,5,2.3884
2013-06-13,6,2.2733
2013-06-13,7,1.9996
2013-06-13,8,2.1265
2013-06-13,9,2.0115
2013-06-13,9.2,2.0115
2013-06-20,0.1,1.8925
2013-06-20,1,2.4003
2013-06-20,2,4.7013
2013-06-20,3,6.8754
2013-06-20,4,6.3756
2013-06-20,5,3.2215
2013-06-20,6,2.2257
2013-06-20,7,2.7058
2013-06-20,8,2.3884
2013-06-20,9,2.7097
2013-06-20,9.2,2.7097
2013-06-25,0.1,1.1268
2013-06-25,1,1.341
2013-06-25,2,2.7296
2013-06-25,3,8.4902
2013-06-25,4,7.0143
2013-06-25,5,3.162
2013-06-25,6,2.0194
2013-06-25,7,1.9004
2013-06-25,8,1.6941
2013-06-25,9,1.7417
2013-06-25,9.2,1.8131
2013-06-27,0.1,0.369
2013-06-27,1,1.2537
2013-06-27,2,2.9597
2013-06-27,3,7.8752
2013-06-27,4,6.808
2013-06-27,5,3.2175
2013-06-27,6,2.0035
2013-06-27,7,1.3688
2013-06-27,8,1.5037
2013-06-27,9,1.821
2013-06-27,9.2,2.2019
2013-07-03,0.1,4.0547
2013-07-03,1,4.8957
2013-07-03,2,4.0388
2013-07-03,3,7.8117
2013-07-03,4,8.9147
2013-07-03,5,6.9032
2013-07-03,6,2.7216
2013-07-03,7,1.4362
2013-07-03,8,1.1783
2013-07-03,9,1.6108
2013-07-03,9.2,1.3767
2013-07-11,0.1,5.0782
2013-07-11,1,8.3473
2013-07-11,2,7.3436
2013-07-11,3,7.4864
2013-07-11,4,12.7947
2013-07-11,5,5.7447
2013-07-11,6,3.5191
2013-07-11,7,2.7613
2013-07-11,8,2.0869
2013-07-11,9,1.9956
2013-07-11,9.2,1.948
2013-07-15,0.1,3.8999
2013-07-15,1,4.7688
2013-07-15,2,8.6211
2013-07-15,3,5.8241
2013-07-15,4,7.2563
2013-07-15,5,5.1973
2013-07-15,6,3.6421
2013-07-15,7,2.1226
2013-07-15,8,2.1384
2013-07-15,9,1.702
2013-07-15,9.2,1.5473
2013-07-18,0.1,3.1779
2013-07-18,1,4.9156
2013-07-18,2,8.6131
2013-07-18,3,8.4306
2013-07-18,4,10.8864
2013-07-18,5,6.5263
2013-07-18,6,3.0946
2013-07-18,7,2.0631
2013-07-18,8,2.0194
2013-07-18,9,1.3331
2013-07-18,9.2,1.3331
2013-07-22,0.1,3.9475
2013-07-22,1,4.7013
2013-07-22,2,11.5688
2013-07-22,3,9.5375
2013-07-22,4,7.2285
2013-07-22,5,9.0138
2013-07-22,6,2.5074
2013-07-22,7,1.4918
2013-07-22,8,1.6941
2013-07-22,9,1.3688
2013-07-22,9.2,1.3688
2013-07-25,0.1,3.0787
2013-07-25,1,3.5111
2013-07-25,2,8.3672
2013-07-25,3,13.4771
2013-07-25,4,9.5455
2013-07-25,5,11.422
2013-07-25,6,4.1538
2013-07-25,7,2.7058
2013-07-25,8,2.5391
2013-07-25,9,1.8806
2013-07-25,9.2,1.9004
2013-07-29,0.1,2.7177
2013-07-29,1,3.2929
2013-07-29,2,4.737
2013-07-29,3,16.9366
2013-07-29,4,8.4465
2013-07-29,5,5.225
2013-07-29,6,3.4834
2013-07-29,7,2.0829
2013-07-29,8,1.456
2013-07-29,9,1.3093
2013-07-29,9.2,1.6385
2013-08-01,0.1,2.9517
2013-08-01,1,3.166
2013-08-01,2,4.6815
2013-08-01,3,20.8167
2013-08-01,4,12.4456
2013-08-01,5,4.2491
2013-08-01,6,4.499
2013-08-01,7,3.2056
2013-08-01,8,1.5751
2013-08-01,9,2.3408
2013-08-01,9.2,2.3447
2013-08-08,0.1,1.2974
2013-08-08,1,1.3013
2013-08-08,2,5.1973
2013-08-08,3,9.843
2013-08-08,4,16.7343
2013-08-08,5,2.9002
2013-08-08,6,2.7137
2013-08-08,7,2.7097
2013-08-08,8,2.7692
2013-08-08,9,3.043
2013-08-08,9.2,3.043
2013-08-12,0.1,0.7737
2013-08-12,1,1.0752
2013-08-12,2,4.0824
2013-08-12,3,11.4657
2013-08-12,4,14.096
2013-08-12,5,3.2969
