"DateTime","Depth","OXY_oxy"
2013-05-16,0.1,270.3559375
2013-05-16,1,272.6409375
2013-05-16,2,265.4790625
2013-05-16,3,261.6859375
2013-05-16,4,254.7459375
2013-05-16,5,231.4071875
2013-05-16,6,232.0371875
2013-05-16,7,225.4528125
2013-05-16,8,219.544375
2013-05-16,9,215.4846875
2013-05-16,9.2,214.2728125
2013-05-21,0.1,285.116875
2013-05-21,1,277.6278125
2013-05-21,2,272.0940625
2013-05-21,3,250.6659375
2013-05-21,4,245.490625
2013-05-21,5,273.1425
2013-05-21,6,281.8615625
2013-05-21,7,280.00375
2013-05-21,8,281.7121875
2013-05-21,9,276.233125
2013-05-21,9.2,277.2584375
2013-05-23,0.1,277.14125
2013-05-23,1,285.5065625
2013-05-23,2,271.30875
2013-05-23,3,245.393125
2013-05-23,4,226.8540625
2013-05-23,5,290.8721875
2013-05-23,6,289.1778125
2013-05-23,7,287.194375
2013-05-23,8,287.1496875
2013-05-23,9,289.038125
2013-05-23,9.2,288.7565625
2013-05-30,0.1,269.9453125
2013-05-30,1,302.31625
2013-05-30,2,326.6665625
2013-05-30,3,276.649375
2013-05-30,4,237.4715625
2013-05-30,5,329.433125
2013-05-30,6,331.16
2013-05-30,7,329.669375
2013-05-30,8,329.71375
2013-05-30,9,318.97375
2013-05-30,9.2,307.3715625
2013-06-04,0.1,262.6521875
2013-06-04,1,264.1165625
2013-06-04,2,339.53
2013-06-04,3,279.046875
2013-06-04,4,253.9165625
2013-06-04,5,348.1484375
2013-06-04,6,351.846875
2013-06-04,7,352.4346875
2013-06-04,8,347.7359375
2013-06-04,9,345.534375
2013-06-04,9.2,342.300625
2013-06-06,0.1,207.54875
2013-06-06,1,262.829375
2013-06-06,2,338.540625
2013-06-06,3,264.976875
2013-06-06,4,283.1890625
2013-06-06,5,363.4459375
2013-06-06,6,364.399375
2013-06-06,7,363.873125
2013-06-06,8,363.4875
2013-06-06,9,361.53125
2013-06-06,9.2,355.5090625
2013-06-13,0.1,280.2028125
2013-06-13,1,322.39375
2013-06-13,2,313.4378125
2013-06-13,3,257.846875
2013-06-13,4,266.5840625
2013-06-13,5,382.9490625
2013-06-13,6,385.625
2013-06-13,7,384.6440625
2013-06-13,8,379.85375
2013-06-13,9,376.6003125
2013-06-13,9.2,376.6003125
2013-06-20,0.1,233.1053125
2013-06-20,1,305.2046875
2013-06-20,2,313.8434375
2013-06-20,3,256.04125
2013-06-20,4,240.8584375
2013-06-20,5,358.398125
2013-06-20,6,365.0265625
2013-06-20,7,363.515
2013-06-20,8,358.0253125
2013-06-20,9,343.4028125
2013-06-20,9.2,343.4028125
2013-06-25,0.1,284.708125
2013-06-25,1,374.9296875
2013-06-25,2,384.8834375
2013-06-25,3,289.7490625
2013-06-25,4,231.3109375
2013-06-25,5,352.0109375
2013-06-25,6,355.78
2013-06-25,7,342.8478125
2013-06-25,8,311.5971875
2013-06-25,9,257.620625
2013-06-25,9.2,208.5090625
2013-06-27,0.1,286.44125
2013-06-27,1,362.735625
2013-06-27,2,387.035
2013-06-27,3,233.1625
2013-06-27,4,250.1028125
2013-06-27,5,349.056875
2013-06-27,6,348.604375
2013-06-27,7,329.0928125
2013-06-27,8,282.04625
2013-06-27,9,188.786875
2013-06-27,9.2,200.5025
2013-07-03,0.1,251.1203125
2013-07-03,1,302.021875
2013-07-03,2,258.3225
2013-07-03,3,318.923125
2013-07-03,4,227.6265625
2013-07-03,5,324.868125
2013-07-03,6,339.31125
2013-07-03,7,318.906875
2013-07-03,8,263.1671875
2013-07-03,9,169.3440625
2013-07-03,9.2,148.4853125
2013-07-11,0.1,194.721875
2013-07-11,1,200.5059375
2013-07-11,2,217.246875
2013-07-11,3,214.7609375
2013-07-11,4,212.6465625
2013-07-11,5,249.108125
2013-07-11,6,249.414375
2013-07-11,7,250.03625
2013-07-11,8,227.4665625
2013-07-11,9,218.2971875
2013-07-11,9.2,222.6090625
2013-07-15,0.1,230.1753125
2013-07-15,1,259.18625
2013-07-15,2,273.8140625
2013-07-15,3,268.9190625
2013-07-15,4,252.6228125
2013-07-15,5,246.5546875
2013-07-15,6,205.1540625
2013-07-15,7,181.6996875
2013-07-15,8,176.6028125
2013-07-15,9,168.416875
2013-07-15,9.2,165.0553125
2013-07-18,0.1,213.8125
2013-07-18,1,217.1328125
2013-07-18,2,237.225
2013-07-18,3,246.3534375
2013-07-18,4,271.1478125
2013-07-18,5,244.6309375
2013-07-18,6,210.3975
2013-07-18,7,174.7775
2013-07-18,8,173.940625
2013-07-18,9,177.895625
2013-07-18,9.2,179.8434375
2013-07-22,0.1,176.1378125
2013-07-22,1,177.6696875
2013-07-22,2,222.62875
2013-07-22,3,247.6546875
2013-07-22,4,263.4928125
2013-07-22,5,210.36875
2013-07-22,6,170.8615625
2013-07-22,7,154.4596875
2013-07-22,8,149.110625
2013-07-22,9,163.610625
2013-07-22,9.2,163.610625
2013-07-25,0.1,202.0384375
2013-07-25,1,194.8790625
2013-07-25,2,220.3153125
2013-07-25,3,238.6615625
2013-07-25,4,284.22125
2013-07-25,5,284.9734375
2013-07-25,6,238.9840625
2013-07-25,7,193.631875
2013-07-25,8,154.3503125
2013-07-25,9,150.395
2013-07-25,9.2,143.31625
2013-07-29,0.1,175.9184375
2013-07-29,1,192.61375
2013-07-29,2,210.255
2013-07-29,3,231.7915625
2013-07-29,4,266.46375
2013-07-29,5,261.1815625
2013-07-29,6,218.935
2013-07-29,7,164.188125
2013-07-29,8,142.5715625
2013-07-29,9,130.970625
2013-07-29,9.2,125.859375
2013-08-01,0.1,222.853125
2013-08-01,1,221.7353125
2013-08-01,2,233.203125
2013-08-01,3,240.444375
2013-08-01,4,302.9271875
2013-08-01,5,260.8825
2013-08-01,6,215.358125
2013-08-01,7,184.9175
2013-08-01,8,143.3621875
2013-08-01,9,133.5725
2013-08-01,9.2,132.9646875
2013-08-05,1,244.0625
2013-08-05,2,354.0625
2013-08-05,3,337.8125
2013-08-05,4,68.4375
2013-08-05,5,77.8125
2013-08-05,6,144.0625
2013-08-05,7,148.75
2013-08-05,8,150.625
2013-08-05,9,150.625
2013-08-05,9.2,150.625
