DateTime,Depth,OXY_oxy
2013-05-16,7,225.4528125
2013-05-21,7,280.00375
2013-05-23,7,287.194375
2013-05-30,7,329.669375
2013-06-04,7,352.4346875
2013-06-06,7,363.873125
2013-06-13,7,384.6440625
2013-06-20,7,363.515
2013-06-25,7,342.8478125
2013-06-27,7,329.0928125
2013-07-03,7,318.906875
2013-07-11,7,250.03625
2013-07-15,7,181.6996875
2013-07-18,7,174.7775
2013-07-22,7,154.4596875
2013-07-25,7,193.631875
2013-07-29,7,164.188125
2013-08-01,7,184.9175
2013-08-08,7,168.690625
2013-08-12,7,223.5534375
2013-08-28,7,230.9759375
2013-09-18,7,318.0571875
2013-09-25,7,341.1003125
2013-10-16,7,241.7978125
2013-10-23,7,301.1184375
2013-10-30,7,280.6453125
2013-11-06,7,259.8975
2013-11-20,7,299.5434375
2013-12-04,7,346.9265625
2014-05-05,7,188.601875
2014-05-06,7,187.130625
2014-05-07,7,215.23
2014-05-08,7,233.0640625
2014-05-09,7,244.7484375
2014-05-10,7,256.74
2014-05-12,7,239.6721875
2014-05-14,7,231.365
2014-05-15,7,242.9065625
2014-05-19,7,260.5940625
2014-05-22,7,272.26625
2014-05-26,7,280.4109375
2014-05-28,7,288.6653125
2014-06-02,7,297.996875
2014-06-03,7,299.9740625
2014-06-04,7,279.30625
2014-06-05,7,279.1403125
2014-06-06,7,268.44875
2014-06-09,7,230.3434375
2014-06-12,7,241.9259375
2014-06-16,7,238.5584375
2014-06-19,7,213.024375
2014-06-23,7,178.8184375
2014-06-25,7,171.1425
2014-06-29,7,126.2971875
2014-06-30,7,134.3296875
2014-07-01,7,141.359375
2014-07-02,7,146.6015625
2014-07-07,7,163.799375
2014-07-09,7,168.769375
2014-07-14,7,185.9271875
2014-07-16,7,193.7975
2014-07-21,7,202.3753125
2014-07-23,7,202.168125
2014-07-28,7,208.6321875
2014-07-30,7,207.3721875
2014-08-02,7,171.589375
2014-08-04,7,179.933125
2014-08-06,7,161.1084375
2014-08-09,7,77.6128125
2014-08-10,7,88.4671875
2014-08-11,7,76.85625
2014-08-13,7,14.4646875
2014-08-18,7,6.2709375
2014-08-19,7,13.6221875
2014-08-21,7,55.3696875
2014-08-25,7,90.08625
2014-09-03,7,132.8446875
2014-09-08,7,149.569375
2014-09-15,7,175.7090625
2014-09-22,7,204.3796875
2014-09-29,7,229.9353125
2014-10-04,7,245.064375
2014-10-15,7,279.7925
2014-10-23,7,274.260625
2014-11-10,7,313.3403125
2014-12-10,7,332.024375
2015-03-16,7,343.2821875
2015-03-31,7,288.403125
2015-04-07,7,273.0115625
2015-04-13,7,250.260625
2015-04-16,7,234.4834375
2015-04-19,7,228.26125
2015-04-21,7,227.4878125
2015-04-25,7,198.885
2015-04-28,7,193.90625
2015-05-01,7,183.2540625
2015-05-05,7,153.8015625
2015-05-07,7,180.5721875
2015-05-11,7,202.5246875
2015-05-14,7,196.035
2015-05-18,7,215.9253125
2015-05-21,7,223.8390625
2015-05-25,7,231.1259375
2015-05-28,7,231.9221875
2015-06-08,7,139.4884375
2015-06-11,7,172.5253125
2015-06-15,7,170.136875
2015-06-22,7,158.8184375
2015-06-23,7,158.49625
2015-06-29,7,233.0603125
2015-07-02,7,250.0484375
2015-07-06,7,279.381875
2015-07-09,7,294.77
2015-07-13,7,311.4690625
2015-07-16,7,327.3640625
2015-07-20,7,330.31875
2015-07-23,7,323.240625
2015-07-27,7,291.645625
2015-07-30,7,265.779375
2015-08-03,7,250.776875
2015-08-08,7,230.459375
2015-08-31,7,295.0565625
2015-09-07,7,303.88875
2015-09-14,7,311.4353125
2015-09-21,7,310.2096875
2015-09-28,7,296.0053125
2015-10-05,7,193.8053125
2015-10-19,7,229.9875
2015-10-23,7,241.6878125
2015-12-07,7,314.6021875
2016-05-12,7,392.3453125
2016-05-16,7,400.205625
2016-05-19,7,409.405
2016-05-23,7,422.3953125
2016-05-26,7,434.9925
2016-05-29,7,448.8140625
2016-05-30,7,454.29375
2016-05-31,7,453.645
2016-06-01,7,467.5315625
2016-06-02,7,467.6534375
2016-06-03,7,466.231875
2016-06-06,7,473.0253125
2016-06-07,7,469.5871875
2016-06-08,7,475.3434375
2016-06-09,7,471.3734375
2016-06-13,7,448.2896875
2016-06-20,7,427.3253125
2016-06-23,7,415.0559375
2016-06-26,7,400.1484375
2016-06-27,7,239.6575
2016-06-28,7,212.5815625
2016-06-30,7,388.8965625
2016-07-05,7,370.88125
2016-07-07,7,376.21125
2016-07-11,7,345.21
2016-07-14,7,324.395
2016-07-18,7,298.7646875
2016-07-21,7,281.4928125
2016-07-24,7,279.8315625
2016-07-25,7,264.5140625
2016-07-26,7,270.055625
2016-07-28,7,289.8434375
2016-08-01,7,349.5028125
2016-08-08,7,415.8965625
2016-08-11,7,450.8109375
2016-08-15,7,465.1759375
2016-08-18,7,486.9559375
2016-08-23,7,490.423125
2016-08-26,7,501.5609375
2016-09-02,7,472.71875
2016-09-06,7,464.5803125
2016-09-09,7,462.6559375
2016-09-16,7,395.2075
2016-09-17,7,390.396875
2016-09-27,7,246.0646875
2016-09-30,7,237.538125
2016-10-05,7,2.7796875
2016-10-06,7,31.5971875
2016-10-07,7,118.126875
2016-10-11,7,234.3878125
2016-10-14,7,241.981875
2016-11-04,7,200.288125
2016-11-11,7,261.188125
2016-12-02,7,302.0890625
2017-03-12,7,252.80125
2017-03-26,7,296.206875
2017-04-09,7,265.4015625
2017-04-16,7,220.150625
