Reservoir,Site,DateTime,Depth_m,Temp_C,DO_mgL,DOSat,Cond_uScm,PAR_umolm2s,ORP_mV,pH,Flag_Temp,Flag_DO,Flag_DOSat,Flag_Cond,Flag_PAR,Flag_ORP,Flag_pH
BVR,50,5/14/14 12:00,0,NA,NA,NA,NA,NA,NA,7.98,1,1,1,1,1,1,0
BVR,50,5/14/14 12:00,2,NA,NA,NA,NA,NA,NA,7.91,1,1,1,1,1,1,0
BVR,50,5/14/14 12:00,4,NA,NA,NA,NA,NA,NA,7.76,1,1,1,1,1,1,0
BVR,50,5/14/14 12:00,8,NA,NA,NA,NA,NA,NA,6.78,1,1,1,1,1,1,0
BVR,50,5/14/14 12:00,12,NA,NA,NA,NA,NA,NA,6.26,1,1,1,1,1,1,0
BVR,50,5/29/14 12:00,0.1,NA,NA,NA,NA,NA,NA,7.66,1,1,1,1,1,1,0
BVR,50,5/29/14 12:00,1,NA,NA,NA,NA,NA,NA,7.74,1,1,1,1,1,1,0
BVR,50,5/29/14 12:00,2,NA,NA,NA,NA,NA,NA,7.69,1,1,1,1,1,1,0
BVR,50,5/29/14 12:00,3,NA,NA,NA,NA,NA,NA,7.65,1,1,1,1,1,1,0
BVR,50,5/29/14 12:00,4,NA,NA,NA,NA,NA,NA,7.45,1,1,1,1,1,1,0
BVR,50,5/29/14 12:00,5,NA,NA,NA,NA,NA,NA,7.13,1,1,1,1,1,1,0
BVR,50,5/29/14 12:00,6,NA,NA,NA,NA,NA,NA,6.82,1,1,1,1,1,1,0
BVR,50,5/29/14 12:00,7,NA,NA,NA,NA,NA,NA,6.45,1,1,1,1,1,1,0
BVR,50,5/29/14 12:00,8,NA,NA,NA,NA,NA,NA,6.31,1,1,1,1,1,1,0
BVR,50,5/29/14 12:00,9,NA,NA,NA,NA,NA,NA,6.21,1,1,1,1,1,1,0
BVR,50,5/29/14 12:00,10,NA,NA,NA,NA,NA,NA,6.07,1,1,1,1,1,1,0
BVR,50,5/29/14 12:00,11,NA,NA,NA,NA,NA,NA,5.99,1,1,1,1,1,1,0
BVR,50,5/29/14 12:00,12,NA,NA,NA,NA,NA,NA,5.93,1,1,1,1,1,1,0
BVR,50,6/18/14 12:00,0.1,NA,NA,NA,NA,NA,NA,7.57,1,1,1,1,1,1,0
BVR,50,6/18/14 12:00,1,NA,NA,NA,NA,NA,NA,7.42,1,1,1,1,1,1,0
BVR,50,6/18/14 12:00,2,NA,NA,NA,NA,NA,NA,7.38,1,1,1,1,1,1,0
BVR,50,6/18/14 12:00,3,NA,NA,NA,NA,NA,NA,7.35,1,1,1,1,1,1,0
BVR,50,6/18/14 12:00,4,NA,NA,NA,NA,NA,NA,6.95,1,1,1,1,1,1,0
BVR,50,6/18/14 12:00,5,NA,NA,NA,NA,NA,NA,6.69,1,1,1,1,1,1,0
BVR,50,6/18/14 12:00,6,NA,NA,NA,NA,NA,NA,6.55,1,1,1,1,1,1,0
BVR,50,6/18/14 12:00,7,NA,NA,NA,NA,NA,NA,6.5,1,1,1,1,1,1,0
BVR,50,6/18/14 12:00,8,NA,NA,NA,NA,NA,NA,6.37,1,1,1,1,1,1,0
BVR,50,6/18/14 12:00,9,NA,NA,NA,NA,NA,NA,6.35,1,1,1,1,1,1,0
BVR,50,6/18/14 12:00,10,NA,NA,NA,NA,NA,NA,6.27,1,1,1,1,1,1,0
BVR,50,6/18/14 12:00,11,NA,NA,NA,NA,NA,NA,6.27,1,1,1,1,1,1,0
BVR,50,6/18/14 12:00,12,NA,NA,NA,NA,NA,NA,6.65,1,1,1,1,1,1,0
BVR,50,6/25/14 12:00,0.1,NA,NA,NA,NA,NA,NA,7.66,1,1,1,1,1,1,0
BVR,50,6/25/14 12:00,1,NA,NA,NA,NA,NA,NA,7.42,1,1,1,1,1,1,0
BVR,50,6/25/14 12:00,2,NA,NA,NA,NA,NA,NA,7.37,1,1,1,1,1,1,0
BVR,50,6/25/14 12:00,3,NA,NA,NA,NA,NA,NA,7.33,1,1,1,1,1,1,0
BVR,50,6/25/14 12:00,4,NA,NA,NA,NA,NA,NA,7.09,1,1,1,1,1,1,0
BVR,50,6/25/14 12:00,5,NA,NA,NA,NA,NA,NA,6.72,1,1,1,1,1,1,0
BVR,50,6/25/14 12:00,6,NA,NA,NA,NA,NA,NA,6.58,1,1,1,1,1,1,0
BVR,50,6/25/14 12:00,7,NA,NA,NA,NA,NA,NA,6.53,1,1,1,1,1,1,0
BVR,50,6/25/14 12:00,8,NA,NA,NA,NA,NA,NA,6.47,1,1,1,1,1,1,0
BVR,50,6/25/14 12:00,9,NA,NA,NA,NA,NA,NA,6.35,1,1,1,1,1,1,0
BVR,50,6/25/14 12:00,10,NA,NA,NA,NA,NA,NA,6.34,1,1,1,1,1,1,0
BVR,50,6/25/14 12:00,11,NA,NA,NA,NA,NA,NA,6.75,1,1,1,1,1,1,0
BVR,50,6/25/14 12:00,12,NA,NA,NA,NA,NA,NA,6.86,1,1,1,1,1,1,0
BVR,50,7/2/14 12:00,0.1,NA,NA,NA,NA,340,NA,7.58,1,1,1,1,0,1,0
BVR,50,7/2/14 12:00,1,NA,NA,NA,NA,83.88,NA,7.52,1,1,1,1,0,1,0
BVR,50,7/2/14 12:00,2,NA,NA,NA,NA,59.79,NA,7.6,1,1,1,1,0,1,0
BVR,50,7/2/14 12:00,3,NA,NA,NA,NA,44.12,NA,7.49,1,1,1,1,0,1,0
BVR,50,7/2/14 12:00,4,NA,NA,NA,NA,26.59,NA,7.25,1,1,1,1,0,1,0
BVR,50,7/2/14 12:00,5,NA,NA,NA,NA,15.92,NA,6.76,1,1,1,1,0,1,0
BVR,50,7/2/14 12:00,6,NA,NA,NA,NA,10.61,NA,6.64,1,1,1,1,0,1,0
BVR,50,7/2/14 12:00,7,NA,NA,NA,NA,6.71,NA,6.55,1,1,1,1,0,1,0
BVR,50,7/2/14 12:00,8,NA,NA,NA,NA,3.71,NA,6.42,1,1,1,1,0,1,0
BVR,50,7/2/14 12:00,9,NA,NA,NA,NA,1.34,NA,6.33,1,1,1,1,0,1,0
BVR,50,7/2/14 12:00,10,NA,NA,NA,NA,0.3,NA,6.33,1,1,1,1,0,1,0
BVR,50,7/2/14 12:00,11,NA,NA,NA,NA,0.01,NA,6.63,1,1,1,1,0,1,0
BVR,50,7/2/14 12:00,12,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
BVR,50,7/9/14 12:00,0.1,NA,NA,NA,NA,NA,NA,7.89,1,1,1,1,1,1,0
BVR,50,7/9/14 12:00,1,NA,NA,NA,NA,NA,NA,7.75,1,1,1,1,1,1,0
BVR,50,7/9/14 12:00,2,NA,NA,NA,NA,NA,NA,7.53,1,1,1,1,1,1,0
BVR,50,7/9/14 12:00,3,NA,NA,NA,NA,NA,NA,7.45,1,1,1,1,1,1,0
BVR,50,7/9/14 12:00,4,NA,NA,NA,NA,NA,NA,6.99,1,1,1,1,1,1,0
BVR,50,7/9/14 12:00,5,NA,NA,NA,NA,NA,NA,6.68,1,1,1,1,1,1,0
BVR,50,7/9/14 12:00,6,NA,NA,NA,NA,NA,NA,6.52,1,1,1,1,1,1,0
BVR,50,7/9/14 12:00,7,NA,NA,NA,NA,NA,NA,6.45,1,1,1,1,1,1,0
BVR,50,7/9/14 12:00,8,NA,NA,NA,NA,NA,NA,6.38,1,1,1,1,1,1,0
BVR,50,7/9/14 12:00,9,NA,NA,NA,NA,NA,NA,6.36,1,1,1,1,1,1,0
BVR,50,7/9/14 12:00,10,NA,NA,NA,NA,NA,NA,6.43,1,1,1,1,1,1,0
BVR,50,7/9/14 12:00,11,NA,NA,NA,NA,NA,NA,6.55,1,1,1,1,1,1,0
BVR,50,7/23/14 12:00,0,NA,NA,NA,NA,NA,NA,7.95,1,1,1,1,1,1,0
BVR,50,7/23/14 12:00,1,NA,NA,NA,NA,NA,NA,7.58,1,1,1,1,1,1,0
BVR,50,7/23/14 12:00,2,NA,NA,NA,NA,NA,NA,7.44,1,1,1,1,1,1,0
BVR,50,7/23/14 12:00,3,NA,NA,NA,NA,NA,NA,7.39,1,1,1,1,1,1,0
BVR,50,7/23/14 12:00,4,NA,NA,NA,NA,NA,NA,6.6,1,1,1,1,1,1,0
BVR,50,7/23/14 12:00,5,NA,NA,NA,NA,NA,NA,6.47,1,1,1,1,1,1,0
BVR,50,7/23/14 12:00,6,NA,NA,NA,NA,NA,NA,6.39,1,1,1,1,1,1,0
BVR,50,7/23/14 12:00,7,NA,NA,NA,NA,NA,NA,6.39,1,1,1,1,1,1,0
BVR,50,7/23/14 12:00,8,NA,NA,NA,NA,NA,NA,6.34,1,1,1,1,1,1,0
BVR,50,7/23/14 12:00,10,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
BVR,50,7/23/14 12:00,11,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
BVR,50,7/23/14 12:00,12,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
BVR,50,9/25/14 12:00,0,NA,NA,NA,NA,NA,NA,6.3,1,1,1,1,1,1,0
BVR,50,9/25/14 12:00,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
BVR,50,9/25/14 12:00,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
BVR,50,9/25/14 12:00,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
BVR,50,9/25/14 12:00,4,NA,NA,NA,NA,NA,NA,6.35,1,1,1,1,1,1,0
BVR,50,9/25/14 12:00,5,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
BVR,50,9/25/14 12:00,6,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
