Reservoir,Site,DateTime,Secchi_m,Flag_Secchi
BVR,50,2013-08-30,2.3,1
BVR,50,2013-08-30,2.3,1
BVR,50,2013-10-16,4.4,0
BVR,50,2014-04-30,3,0
BVR,50,2014-04-30,2.75,0
BVR,50,2014-04-30,3,0
BVR,50,2014-05-14,3.5,0
BVR,50,2014-05-14,3.5,0
BVR,50,2014-05-29,3.5,0
BVR,50,2014-06-04,4.4,0
BVR,50,2014-06-04,4.4,0
BVR,50,2014-06-18,4.2,0
BVR,50,2014-06-18,4.2,0
BVR,50,2014-06-25,4.7,0
BVR,50,2014-06-25,4.7,0
BVR,50,2014-07-02,3,0
BVR,50,2014-07-02,3,0
BVR,50,2014-07-09,2.5,0
BVR,50,2014-07-09,2.5,0
BVR,50,2014-07-23,2.2,0
BVR,50,2014-07-23,2.5,0
BVR,50,2014-07-30,2.5,0
BVR,50,2014-07-30,2.5,0
BVR,50,2014-08-13,2.6,0
BVR,50,2014-08-13,2.6,0
BVR,50,2014-09-04,3.8,0
BVR,50,2014-09-04,3.8,0
BVR,50,2014-09-25,3.3,0
BVR,50,2014-09-25,3.3,0
BVR,50,2015-05-28,3.9,0
BVR,50,2015-06-04,3.4,0
BVR,50,2015-06-11,3.3,0
BVR,50,2015-06-18,3.2,0
BVR,50,2015-06-25,2.5,0
BVR,50,2015-07-02,2.6,0
BVR,50,2015-07-02,2.6,0
BVR,50,2015-07-09,2.9,0
BVR,50,2015-07-16,2.8,0
BVR,50,2015-07-23,2.7,0
BVR,50,2015-07-30,2.6,0
BVR,50,2015-08-13,2.5,0
BVR,50,2015-08-20,2.5,0
BVR,50,2015-10-23,3,0
BVR,50,2015-10-23,3,0
BVR,50,2016-03-23,1.74,0
BVR,50,2016-04-05,2.21,1
BVR,50,2016-04-06,2.21,0
BVR,50,2016-04-20,2.49,1
BVR,50,2016-04-23,1.74,1
BVR,50,2016-05-04,3.08,1
BVR,50,2016-05-12,4.04,1
BVR,50,2016-05-19,3.25,1
BVR,50,2016-05-26,3.45,1
BVR,50,2016-05-29,2.76,1
BVR,50,2016-05-31,3.02,1
BVR,50,2016-06-02,4.2,1
BVR,50,2016-06-08,3.9,1
BVR,50,2016-06-16,3.3,1
BVR,50,2016-06-23,3.9,1
BVR,50,2016-06-26,2.79,1
BVR,50,2016-06-28,3.5,1
BVR,50,2016-06-30,3.06,1
BVR,50,2016-07-07,3.08,1
BVR,50,2016-07-14,3.1,1
BVR,50,2016-07-21,2.7,1
BVR,50,2016-07-24,2.3,1
BVR,50,2016-07-28,2.47,1
BVR,50,2016-08-04,1.79,1
BVR,50,2016-08-11,1.9,1
BVR,50,2016-08-18,2.65,1
BVR,50,2016-08-23,2.87,1
BVR,50,2016-09-06,2.13,1
BVR,50,2016-09-27,2.21,1
BVR,50,2016-10-11,2.3,1
BVR,50,2016-10-25,2.24,1
BVR,50,2016-11-11,1.35,0
BVR,50,2017-03-17,2.51,0
BVR,50,2017-04-10,3.29,0
BVR,50,2017-05-05,3.15,0
BVR,50,2017-05-10,2.5,0
BVR,50,2017-05-18,3.45,0
BVR,50,2017-05-25,2.14,0
BVR,50,2017-05-30,2.05,0
BVR,50,2017-06-01,2.19,0
BVR,50,2017-06-08,2.18,0
BVR,50,2017-06-15,1.83,0
BVR,50,2017-06-22,1,0
BVR,50,2017-06-29,0.92,0
BVR,50,2017-07-07,0.87,0
BVR,50,2017-07-13,1.26,0
BVR,50,2017-07-20,1.09,0
BVR,50,2017-07-27,0.9,0
BVR,50,2017-08-03,0.96,0
BVR,50,2017-08-10,1.1,0
BVR,50,2017-08-17,1.17,0
BVR,50,2017-08-24,1.15,0
BVR,50,2017-09-05,1.18,0
BVR,50,2017-09-19,1.1,0
BVR,50,2017-10-03,1,0
BVR,50,2017-10-17,1.07,0
BVR,50,2017-11-07,1.05,0
BVR,50,2018-05-04,2.01,0
BVR,50,2018-05-11,2,0
BVR,50,2018-05-17,2.08,0
BVR,50,2018-05-24,2.16,0
BVR,50,2018-05-31,1.86,0
BVR,50,2018-06-07,2.34,0
BVR,50,2018-06-14,1.85,0
BVR,50,2018-06-21,1.9,0
BVR,50,2018-06-28,1.15,0
BVR,50,2018-07-05,0.92,0
BVR,50,2018-07-12,1.12,0
BVR,50,2018-07-19,1.09,0
BVR,50,2018-07-26,4.22,0
BVR,50,2018-08-09,1.03,0
BVR,50,2018-08-16,1.12,0
BVR,50,2018-08-24,1.87,0
BVR,50,2018-09-07,2.57,0
BVR,50,2018-09-21,1.89,0
BVR,50,2018-10-05,2.08,0
BVR,50,2018-10-19,1.72,0
BVR,50,2019-04-08,4.18,0
BVR,50,2019-04-29,3.1,0
BVR,50,2019-05-16,4.5,0
BVR,50,2019-05-23,4.35,0
BVR,50,2019-05-30,3.6,0
BVR,50,2019-06-13,3.5,0
BVR,50,2019-06-20,4.44,0
BVR,50,2019-06-27,4.6,0
BVR,50,2019-07-03,3.5,0
BVR,50,2019-07-11,3.95,0
BVR,50,2019-07-18,3.25,0
BVR,50,2019-07-24,2.63,0
BVR,50,2019-08-01,2.3,0
BVR,50,2019-08-08,2.3,0
BVR,50,2019-08-14,2.5,0
BVR,50,2019-09-04,2.8,0
BVR,50,2019-09-20,2,0
BVR,50,2019-10-04,2.1,0
BVR,50,2019-10-18,0.9,0
BVR,50,2019-10-28,1,0
BVR,50,2019-11-15,1.05,0
BVR,50,2019-12-06,1.27,0
CCR,50,2013-08-30,2.5,1
CCR,50,2014-04-20,2.5,0
CCR,50,2014-05-02,2.5,0
CCR,50,2014-05-08,3.3,0
CCR,50,2014-05-15,2.4,0
CCR,50,2014-05-27,3.8,0
CCR,50,2014-06-04,4.3,0
CCR,50,2014-06-12,4.3,0
CCR,50,2014-06-26,4.5,0
CCR,50,2014-07-03,4.3,0
CCR,50,2014-07-10,4,0
CCR,50,2014-07-24,5,0
CCR,50,2014-08-07,4.5,0
CCR,50,2014-08-21,3.1,0
CCR,50,2014-09-05,5.2,0
CCR,50,2014-09-19,3.5,0
CCR,50,2014-10-03,3.6,0
CCR,50,2014-10-24,3,0
CCR,50,2015-05-08,3.2,0
CCR,50,2015-05-22,3.5,0
CCR,50,2015-05-29,4.8,0
CCR,50,2015-06-12,4.6,0
CCR,50,2015-06-26,4.5,0
CCR,50,2015-07-10,4.2,0
CCR,50,2015-07-24,5.25,0
CCR,50,2015-08-07,4.6,0
CCR,50,2015-08-26,4.6,0
CCR,50,2015-09-09,4.9,0
CCR,50,2015-09-23,3.2,0
CCR,50,2015-10-28,3,0
CCR,50,2016-05-13,3.5,1
CCR,50,2016-05-27,3.3,1
CCR,50,2016-05-27,3.3,1
CCR,50,2016-05-27,2.9,1
CCR,50,2016-05-28,2,1
CCR,50,2016-05-28,2,1
CCR,50,2016-05-28,3.05,1
CCR,50,2016-05-28,3.6,1
CCR,50,2016-05-28,3.6,1
CCR,50,2016-06-11,3.8,1
CCR,50,2016-06-29,4.5,1
CCR,50,2016-07-15,5.6,1
CCR,50,2016-07-29,4.5,1
CCR,50,2016-08-12,5.4,1
CCR,50,2016-08-12,3.5,1
CCR,50,2016-08-13,2.6,1
CCR,50,2016-08-13,2.5,1
CCR,50,2016-08-13,4.35,1
CCR,50,2016-08-13,5.2,1
CCR,50,2016-08-29,4.9,1
CCR,50,2016-09-12,4.3,1
CCR,50,2016-09-26,3.8,1
CCR,50,2016-10-10,3.1,1
CCR,50,2018-05-16,3.3,0
CCR,50,2018-05-30,2.9,0
CCR,50,2018-06-13,3.5,0
CCR,50,2018-06-27,3.05,0
CCR,50,2018-07-11,4.07,0
CCR,50,2018-07-24,4.22,0
CCR,50,2018-08-08,4.75,0
CCR,50,2018-08-22,3.5,0
CCR,50,2018-10-12,1.59,0
CCR,50,2018-10-12,2.86,0
FCR,10,2013-10-16,1.77,0
FCR,20,2013-10-16,1.77,0
FCR,30,2013-10-16,1.9,0
FCR,40,2013-10-16,1.8,0
FCR,50,2013-10-16,2,0
FCR,50,2013-10-29,1.75,0
FCR,50,2014-04-08,2.5,0
FCR,50,2014-04-16,2.7,0
FCR,50,2014-04-21,2.5,0
FCR,50,2014-04-27,3.5,0
FCR,50,2014-04-30,3,0
FCR,50,2014-05-05,2.75,0
FCR,50,2014-05-12,2.5,0
FCR,50,2014-05-26,2.75,0
FCR,50,2014-06-02,2.75,0
FCR,50,2014-06-02,2.75,0
