DateTime,Depth,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,CAR_dic
2016-06-02,0.1,0.609756098,0.080645161,0.105294857,19.15070774,172.3563697,NA
2016-06-06,0.1,0.831485588,0.064516129,0.063176914,15.82014988,142.3813489,NA
2016-06-13,0.1,0.332594235,0.112903226,0.105294857,17.48542881,157.3688593,NA
2016-06-20,0.1,0.166297118,0.048387097,0.0737064,17.48542881,157.3688593,NA
2016-06-27,0.1,0.44345898,0.048387097,0.0737064,16.65278934,149.8751041,NA
2016-06-28,0.1,0.166297118,0.032258065,0.115824343,14.15487094,127.3938385,NA
2016-06-30,0.1,0.277161863,0.048387097,0.126353829,14.98751041,134.8875937,NA
2016-07-05,0.1,0.554323725,0.080645161,0.042117943,16.65278934,149.8751041,NA
2016-07-11,0.1,0.720620843,0.032258065,0.126353829,16.65278934,149.8751041,NA
2016-07-18,0.1,0.166297118,0.032258065,0.126353829,15.82014988,142.3813489,NA
2016-07-25,0.1,0.166297118,0.048387097,0.105294857,14.15487094,127.3938385,NA
2016-07-27,0.1,0.388026608,0.064516129,0.0737064,16.65278934,149.8751041,NA
2016-08-01,0.1,0.332594235,0.064516129,0.126353829,17.48542881,157.3688593,NA
2016-08-08,0.1,0.44345898,0.048387097,0.115824343,17.48542881,157.3688593,NA
2016-08-15,0.1,0.498891353,0.032258065,0.136883314,18.31806828,164.8626145,NA
2016-08-26,0.1,0.388026608,0.064516129,0.168471772,18.31806828,164.8626145,NA
2016-09-02,0.1,0.332594235,0.032258065,0.105294857,18.31806828,164.8626145,NA
2016-09-20,0.1,1.053215078,0.032258065,0.126353829,22.48126561,202.3313905,NA
2016-09-30,0.1,0.88691796,0.096774194,0.105294857,26.64446295,239.8001665,NA
2016-10-05,0.1,0.277161863,0.064516129,0.115824343,24.97918401,224.8126561,NA
2016-10-07,0.1,1.940133038,0.080645161,0.126353829,29.97502082,269.7751873,NA
2016-10-14,0.1,0.332594235,0.016129032,0.0737064,24.97918401,224.8126561,NA
2016-11-04,0.1,0.22172949,0.064516129,0.052647429,19.98334721,179.8501249,NA
2016-12-02,0.1,0.22172949,0.048387097,0.105294857,21.64862614,194.8376353,NA
2017-02-06,0.1,0.44345898,0.080645161,0.042117943,15.82014988,142.3813489,NA
2017-02-27,0.1,0.720620843,0.064516129,0.0737064,15.82014988,142.3813489,NA
2017-03-13,0.1,0.609756098,0.064516129,0.052647429,19.15070774,172.3563697,NA
2017-03-27,0.1,0.997782705,0.048387097,0.168471772,19.15070774,172.3563697,NA
2017-04-10,0.1,0.388026608,0.193548387,0.105294857,19.98334721,179.8501249,NA
2017-04-17,0.1,0.388026608,0.048387097,0.105294857,26.64446295,239.8001665,NA
2017-04-24,0.1,0.776053215,0.016129032,0.0737064,18.31806828,164.8626145,NA
2017-05-01,0.1,0.776053215,0.080645161,0.084235886,24.14654455,217.3189009,NA
2017-05-05,0.1,0.332594235,0.048387097,0.094765371,19.98334721,179.8501249,NA
2017-05-08,0.1,0.554323725,0.032258065,0.105294857,22.48126561,202.3313905,NA
2017-05-15,0.1,0.277161863,0.048387097,0.063176914,21.64862614,194.8376353,NA
2017-05-22,0.1,0.332594235,0.016129032,0.094765371,17.48542881,157.3688593,NA
2017-05-29,0.1,0.831485588,0.032258065,0.063176914,19.98334721,179.8501249,NA
2017-05-30,0.1,0.388026608,0.032258065,0.094765371,22.48126561,202.3313905,NA
2017-06-01,0.1,0.554323725,0.048387097,0.0737064,23.31390508,209.8251457,NA
2017-06-05,0.1,1.053215078,0.112903226,0.084235886,22.48126561,202.3313905,NA
2017-06-12,0.1,0.88691796,0.096774194,0.084235886,19.15070774,172.3563697,NA
2017-06-19,0.1,0.332594235,0.048387097,0.0737064,20.81598668,187.3438801,NA
2017-06-26,0.1,0.66518847,0.032258065,0.084235886,23.31390508,209.8251457,NA
2017-07-05,0.1,0.388026608,0.064516129,0.157942286,32.47293922,292.256453,NA
2017-07-10,0.1,1.10864745,0.080645161,0.210589714,36.63613655,329.725229,NA
2017-07-13,0.1,0.997782705,0.080645161,0.210589714,35.80349709,322.2314738,NA
2017-07-17,0.1,1.940133038,0.064516129,0.189530743,36.63613655,329.725229,NA
2017-07-19,0.1,0.554323725,0.048387097,0.168471772,47.46044963,427.1440466,NA
2017-07-20,0.1,0.44345898,0,0.168471772,49.12572856,442.131557,NA
2017-07-31,0.1,5.155210643,0.14516129,0.157942286,48.29308909,434.6378018,NA
2017-08-07,0.1,4.21286031,0.274193548,0.084235886,29.97502082,269.7751873,NA
2017-08-14,0.1,1.053215078,0.032258065,0.052647429,30.80766028,277.2689425,NA
2017-08-21,0.1,0.388026608,0.032258065,0.0737064,29.97502082,269.7751873,NA
2017-08-28,0.1,0.388026608,0.048387097,0.052647429,29.14238135,262.2814321,NA
2017-09-04,0.1,1.77383592,0.096774194,0.084235886,28.30974188,254.7876769,NA
2017-09-11,0.1,0.44345898,0,0.105294857,28.30974188,254.7876769,NA
2017-09-18,0.1,0.498891353,0.064516129,0.063176914,28.30974188,254.7876769,NA
2017-09-25,0.1,0.44345898,0.048387097,0.031588457,25.81182348,232.3064113,NA
2017-10-02,0.1,0.66518847,0.048387097,0.042117943,28.30974188,254.7876769,NA
2017-10-09,0.1,1.441241685,0.032258065,0.031588457,30.80766028,277.2689425,NA
2017-10-16,0.1,3.215077605,0.193548387,0.063176914,41.63197336,374.6877602,NA
2017-10-23,0.1,3.270509978,0.177419355,0.094765371,40.79933389,367.194005,NA
