par,lb,ub,x0
sw_factor,0.75,1.25,1
lw_factor,0.75,1.25,1
coef_mix_hyp,0.2,0.8,0.5
ch,5.00E-04,0.002,0.0013
sed_temp_amplitude,2,12,4
sed_temp_amplitude,2,12,7
sed_temp_mean,3,20,11
sed_temp_mean,3,20,17
sed_temp_peak_doy,250,280,265
sed_temp_peak_doy,250,280,275
