Parameter,Temp,Oxy,NIT_amm,NIT_nit,SRP,DOC,TN,TP
n_all,323,331,201,201,200,201,229,230
MAE_all,1.12,79.45,8.75,0.27,0.04,42.04,11.6,0.43
RMSE_all,1.33,101.16,15.41,0.37,0.06,62.59,19.17,0.65
PBIAS%_all,3,10.4,3.6,98.9,36.8,-3.7,-22.9,-0.6
NSE_all,0.75,0.11,0.24,-2.58,-1.05,0.25,0.31,-0.39
R2_all,0.76,0.49,0.32,0.08,0.05,0.26,0.39,0.07
n_cal,277,285,162,162,161,162,180,181
MAE_cal,1.13,82.97,8.36,0.24,0.04,33.76,10.26,0.41
RMSE_cal,1.34,104.75,15.05,0.33,0.05,51.08,17.41,0.65
PBIAS%_cal,1.8,9,21,79.3,26.3,-7.4,-22.2,7.6
NSE_cal,0.75,-0.07,-0.11,-1.63,-0.52,0.43,0.05,-0.36
R2_cal,0.76,0.44,0.17,0.18,0.12,0.52,0.21,0.09
n_val,46,46,39,39,39,39,49,49
MAE_val,1.07,57.62,10.4,0.39,0.06,76.44,16.54,0.49
RMSE_val,1.26,75.13,16.85,0.5,0.08,96.7,24.56,0.63
PBIAS%_val,10,28.5,-21.6,213,102.9,11.6,-24.3,-30.5
NSE_val,0.69,0.37,0.5,-9.87,-5.6,-0.2,0.36,-0.52
R2_val,0.92,0.68,0.55,0.1,0.02,0.12,0.51,0
