Parameter,Temp,Thermo,Oxy,NIT_amm,NIT_nit,SRP,DOC,TN,TP
n_all,3639,356,3726,1277,1273,1271,1277,1518,1724
RMSE_all,1.89,1.46,81.16,8.34,0.16,0.05,81.86,12.14,0.54
PBIAS%_all,1.7,3.6,5.5,18,7.7,11.8,-12.5,-21.3,-11.6
NSE_all,0.89,0.01,0.32,0.4,-0.34,-0.93,0.12,0.36,-0.78
r.Spearman_all,0.94,0.32,0.63,0.56,0.22,0.03,0.53,0.73,0.08
NMAE_all,0.1,0.3,0.27,0.82,0.94,0.52,0.25,0.36,0.58
n_cal,3164,309,3251,1018,1014,1012,1018,1250,1456
RMSE_cal,1.9,1.5,80.63,8.07,0.15,0.04,68.95,9.87,0.53
PBIAS%_cal,0.7,1.6,4.8,42.7,7,0.9,-14.3,-17.7,-8.2
NSE_cal,0.89,0.02,0.26,-0.07,-0.16,-0.45,0.24,0.11,-0.9
r.Spearman_cal,0.94,0.31,0.61,0.49,0.27,0.06,0.75,0.69,0.05
NMAE_cal,0.1,0.31,0.26,1.08,0.91,0.37,0.2,0.34,0.57
n_val,475,47,475,259,259,259,259,268,268
RMSE_val,1.87,1.07,84.68,9.27,0.18,0.07,119.03,19.49,0.55
PBIAS%_val,8.7,19.4,11.8,-13.7,10.4,68.3,-6.1,-29.6,-32.1
NSE_val,0.89,-0.42,0.46,0.7,-1.33,-2.97,-0.15,0.23,-0.38
r.Spearman_val,0.97,0.46,0.73,0.79,-0.02,0.09,-0.53,0.59,0.06
NMAE_val,0.11,0.23,0.38,0.46,1.25,1.02,0.41,0.39,0.7
