Parameter,Temp,Thermo,Oxy,NIT_amm,NIT_nit,SRP,DOC,TN,TP
n_all,3639,324,3726,1277,1485,1271,1277,1518,1724
RMSE_all,1.41,0.82,49.11,2.81,0.16,0.05,63.15,5.89,0.29
PBIAS%_all,4.4,0.1,6.4,22.5,9.8,26.5,-14.5,-6.2,-31.7
R2_all,0.95,0.5,0.72,0.77,0.27,0.1,0.3,0.71,0.25
r.Spearman_all,0.96,0.69,0.86,0.77,0.43,0.36,0.62,0.89,0.61
NMAE_all,0.09,0.18,0.15,0.46,0.45,0.37,0.2,0.22,0.38
n_cal,3164,284,3251,1018,1014,1012,1018,1250,1456
RMSE_cal,1.39,0.88,45.87,2.81,0.16,0.04,61.45,4.97,0.25
PBIAS%_cal,3.3,-1.4,5.8,40.7,11.7,21.1,-16.8,-0.8,-29.6
R2_cal,0.95,0.46,0.71,0.63,0.33,0.24,0.46,0.58,0.15
r.Spearman_cal,0.96,0.66,0.87,0.73,0.51,0.41,0.77,0.87,0.52
NMAE_cal,0.09,0.19,0.14,0.61,0.44,0.28,0.19,0.19,0.33
n_val,475,40,475,259,471,259,259,268,268
RMSE_val,1.48,0.38,62.82,2.79,0.14,0.08,70.37,9.23,0.33
PBIAS%_val,11.2,10.5,9.9,-7.2,3.3,51.6,-4.2,-19.8,-42.9
R2_val,0.97,0.95,0.74,0.94,0.12,0.03,0.52,0.94,0.85
r.Spearman_val,0.96,0.94,0.83,0.93,-0.38,-0.18,-0.56,0.94,0.91
NMAE_val,0.12,0.1,0.2,0.22,0.49,0.57,0.24,0.36,0.38
