Parameter,Temp,Oxy,NIT_amm,NIT_nit,SRP,DOC,TN,TP
n_all,3639,3726,1277,1273,1271,1277,1633,1908
RMSE_all,1.89,81.16,8.34,0.16,0.05,81.86,20.73,5.12
PBIAS%_all,1.7,5.5,18,7.7,11.8,-12.5,-70.3,638.2
NSE_all,0.89,0.32,0.4,-0.34,-0.93,0.12,-0.87,-161.23
r.Spearman_all,0.94,0.63,0.56,0.22,0.03,0.53,0.23,0
NMAE_all,0.1,0.27,0.82,0.94,0.52,0.25,0.71,6.36
n_cal,3164,3251,1018,1014,1012,1018,1364,1639
RMSE_cal,1.9,80.63,8.07,0.15,0.04,68.95,15.16,5.06
PBIAS%_cal,0.7,4.8,42.7,7,0.9,-14.3,-64.7,618.8
NSE_cal,0.89,0.26,-0.07,-0.16,-0.45,0.24,-1.09,-169.79
r.Spearman_cal,0.94,0.61,0.49,0.27,0.06,0.75,0.25,-0.03
NMAE_cal,0.1,0.26,1.08,0.91,0.37,0.2,0.65,6.16
n_val,475,475,259,259,259,259,269,269
RMSE_val,1.87,84.68,9.27,0.18,0.07,119.03,36.89,5.39
PBIAS%_val,8.7,11.8,-13.7,10.4,68.3,-6.1,-82.8,753.7
NSE_val,0.89,0.46,0.7,-1.33,-2.97,-0.15,-1.77,-133
r.Spearman_val,0.97,0.73,0.79,-0.02,0.09,-0.53,0.31,0.12
NMAE_val,0.11,0.38,0.46,1.25,1.02,0.41,0.83,7.77
