time,FLOW,TEMP,SALT,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_pon,OGM_dop,OGM_pop,PHS_frp_ads,CAR_dic,CAR_ch4,SIL_rsi
2013-05-15,0.0124,16.4003,0,287.7195,1.2111,0.7158,0.0601,15.8757,330.4122,15.8757,10.8754,2.1751,0.6073,1.4171,0.0601,98.4421,1.8747,126.3866
2013-05-16,0.0116,18.3691,0,276.1702,1.183,0.7437,0.0608,15.8649,330.1886,15.8649,10.8664,2.1733,1.3938,3.2521,0.0608,98.4608,2.0071,126.3866
2013-05-17,0.011,18.4792,0,275.549,1.1548,0.7716,0.0615,15.8542,329.9649,15.8542,10.8573,2.1715,1.3224,3.0856,0.0615,98.4795,2.1396,126.3866
2013-05-18,0.0132,18.5892,0,274.9303,1.1266,0.7995,0.0622,15.8434,329.7413,15.8434,10.8482,2.1696,1.2511,2.9191,0.0622,98.4981,2.2738,126.3866
2013-05-19,0.0187,18.6993,0,274.3141,1.0985,0.8274,0.0629,15.8327,329.5177,15.8327,10.8391,2.1678,1.1797,2.7526,0.0629,98.5168,2.416,126.3866
2013-05-20,0.0299,18.8093,0,273.7004,1.0703,0.8553,0.0636,15.8219,329.2941,15.8219,10.8301,2.166,1.1083,2.5861,0.0636,98.5354,2.5582,126.3866
2013-05-21,0.0205,18.9194,0,273.0891,1.0421,0.8832,0.0643,15.8112,329.0705,15.8112,10.821,2.1642,1.037,2.4196,0.0643,98.5541,2.7004,126.3866
2013-05-22,0.0158,19.9817,0,267.3122,1.014,0.9111,0.065,15.8005,328.8469,15.8005,10.8119,2.1624,0.9656,2.2531,0.065,98.5728,2.8427,126.3866
2013-05-23,0.0153,21.0439,0,261.7492,0.9858,0.939,0.0657,15.7897,328.6233,15.7897,10.8028,2.1606,0.8943,2.0866,0.0657,98.5914,2.9669,126.3866
2013-05-24,0.0144,21.1968,0,260.9656,0.9576,0.9669,0.0664,15.779,328.3997,15.779,10.7938,2.1588,0.911,2.1258,0.0664,98.6101,3.0912,126.3866
2013-05-25,0.0125,21.3496,0,260.1862,0.9295,0.9948,0.0671,15.7682,328.1761,15.7682,10.7847,2.1569,0.9278,2.1649,0.0671,98.6287,3.2728,126.3866
2013-05-26,0.0116,21.5025,0,259.4108,0.9013,1.0227,0.0678,15.7575,327.9525,15.7575,10.7756,2.1551,0.9446,2.204,0.0678,98.6474,3.4245,126.3866
2013-05-27,0.0109,21.6553,0,258.6396,0.8731,1.0506,0.0685,15.7467,327.7289,15.7467,10.7665,2.1533,0.9613,2.2431,0.0685,98.666,3.5762,126.3866
2013-05-28,0.0109,21.8082,0,257.8723,0.845,1.0786,0.0692,15.736,327.5053,15.736,10.7575,2.1515,0.9781,2.2823,0.0692,98.6847,3.7279,126.3866
2013-05-29,0.0108,21.961,0,257.1091,0.8168,1.1065,0.0699,15.7252,327.2817,15.7252,10.7484,2.1497,0.9949,2.3214,0.0699,98.7034,3.8796,126.3866
2013-05-30,0.0102,22.1139,0,256.3499,0.7886,1.1344,0.0706,15.7145,327.0581,15.7145,10.7393,2.1479,1.0117,2.3605,0.0706,98.722,4.1704,126.3866
2013-05-31,0.0111,22.4279,0,254.8029,0.7605,1.1623,0.0713,15.7038,326.8345,15.7038,10.7302,2.146,1.0086,2.3534,0.0713,98.7407,4.4613,126.3866
2013-06-01,0.0106,22.7418,0,253.2722,0.7323,1.1902,0.072,15.693,326.6109,15.693,10.7212,2.1442,1.0056,2.3463,0.072,98.7593,6.3063,126.3866
2013-06-02,0.0136,23.0558,0,251.7576,0.7042,1.2181,0.0727,15.6823,326.3873,15.6823,10.7121,2.1424,1.0025,2.3393,0.0727,98.778,6.2941,126.3866
2013-06-03,0.012,23.3697,0,250.2589,0.676,1.246,0.0734,15.6715,326.1637,15.6715,10.703,2.1406,0.9995,2.3322,0.0734,98.7966,6.2819,126.3866
2013-06-04,0.0103,23.6837,0,248.7757,0.6478,1.2739,0.0741,15.6608,325.9401,15.6608,10.6939,2.1388,0.9965,2.3251,0.0741,98.8153,6.2697,126.3866
2013-06-05,0.0095,22.821,0,252.8887,0.6197,1.3018,0.0748,15.65,325.7165,15.65,10.6849,2.137,0.9934,2.318,0.0748,98.834,6.2575,126.3866
2013-06-06,0.0448,21.9583,0,257.1228,0.5915,1.3297,0.0755,15.6393,325.4929,15.6393,10.6758,2.1352,0.9904,2.3109,0.0755,98.8526,5.9888,126.3866
2013-06-07,0.0356,22.195,0,255.9485,0.5633,1.3576,0.0762,15.6286,325.2693,15.6286,10.6667,2.1333,0.9873,2.3038,0.0762,98.8713,5.7201,126.3866
2013-06-08,0.0258,22.4318,0,254.7836,0.5352,1.3855,0.0768,15.6178,325.0457,15.6178,10.6576,2.1315,0.9843,2.2967,0.0768,98.8899,5.6957,126.3866
2013-06-09,0.019,22.6685,0,253.6281,0.507,1.4134,0.0775,15.6071,324.8221,15.6071,10.6486,2.1297,0.9813,2.2896,0.0775,98.9086,5.656,126.3866
2013-06-10,0.0206,22.9053,0,252.4817,0.4788,1.4413,0.0782,15.5963,324.5985,15.5963,10.6395,2.1279,0.9782,2.2825,0.0782,98.9273,5.6164,126.3866
2013-06-11,0.0222,23.142,0,251.3444,0.4507,1.4692,0.0789,15.5856,324.3748,15.5856,10.6304,2.1261,0.9752,2.2754,0.0789,98.9459,5.7318,126.3866
