time,FLOW
2014-01-04,0.0396
2014-01-05,0.0378
2014-01-06,0.0426
2014-01-07,0.0732
2014-01-08,0.0591
2014-01-09,0.0371
2014-01-10,0.0394
2014-01-11,0.0604
2014-01-12,0.0615
2014-01-13,0.049
2014-01-14,0.0472
2014-01-15,0.0453
2014-01-16,0.0437
2014-01-17,0.0417
2014-01-18,0.0433
2014-01-19,0.0405
2014-01-20,0.0391
2014-01-21,0.0405
2014-01-22,0.046
2014-01-23,0.0465
2014-01-24,0.0908
2014-01-25,0.0744
2014-01-26,0.0387
2014-01-27,0.0398
2014-01-28,0.0439
2014-01-29,0.0446
2014-01-30,0.0533
2014-01-31,0.0369
2014-02-01,0.0348
2014-02-02,0.0348
2014-02-03,0.079
2014-02-04,0.0577
2014-02-05,0.0496
2014-02-06,0.0472
2014-02-07,0.0439
2014-02-08,0.0417
2014-02-09,0.0407
2014-02-10,0.0412
2014-02-11,0.0403
2014-02-12,0.0554
2014-02-13,0.1394
2014-02-14,0.0467
2014-02-15,0.0432
2014-02-16,0.0405
2014-02-17,0.0384
2014-02-18,0.0394
2014-02-19,0.0524
2014-02-20,0.0549
2014-02-21,0.0901
2014-02-22,0.071
2014-02-23,0.0568
2014-02-24,0.0506
2014-02-25,0.0476
2014-02-26,0.0471
2014-02-27,0.0465
2014-02-28,0.044
2014-03-01,0.0419
2014-03-02,0.0426
2014-03-03,0.065
2014-03-04,0.0563
2014-03-05,0.0503
2014-03-06,0.0469
2014-03-07,0.0481
2014-03-08,0.0325
2014-03-09,0.0227
2014-03-10,0.022
2014-03-11,0.0218
2014-03-12,0.0224
2014-03-13,0.0231
2014-03-14,0.0195
2014-03-15,0.0188
2014-03-16,0.0202
2014-03-17,0.0215
2014-03-18,0.0218
2014-03-19,0.0229
2014-03-20,0.0224
2014-03-21,0.0261
2014-03-22,0.0298
2014-03-23,0.0336
2014-03-24,0.0373
2014-03-25,0.041
2014-03-26,0.0448
2014-03-27,0.0485
2014-03-28,0.052
2014-03-29,0.0558
2014-03-30,0.0595
2014-03-31,0.0632
2014-04-01,0.067
2014-04-02,0.0707
2014-04-03,0.0744
2014-04-04,0.0782
2014-04-05,0.0819
2014-04-06,0.0856
2014-04-07,0.0893
2014-04-08,0.0931
2014-04-09,0.0968
2014-04-10,0.1005
2014-04-11,0.1043
2014-04-12,0.108
2014-04-13,0.1117
2014-04-14,0.1154
2014-04-15,0.1192
2014-04-16,0.1229
2014-04-17,0.1266
2014-04-18,0.1302
2014-04-19,0.1339
2014-04-20,0.1377
2014-04-21,0.1414
2014-04-22,0.1451
2014-04-23,0.1488
2014-04-24,0.1526
2014-04-25,0.1563
2014-04-26,0.16
2014-04-27,0.1638
2014-04-28,0.1675
2014-04-29,0.1742
2014-04-30,0.176
2014-05-01,0.1769
2014-05-02,0.1678
2014-05-03,0.1661
2014-05-04,0.1662
2014-05-05,0.1646
2014-05-06,0.1675
2014-05-07,0.1696
2014-05-08,0.171
2014-05-09,0.1709
2014-05-10,0.1694
2014-05-11,0.1678
2014-05-12,0.1684
2014-05-13,0.1703
2014-05-14,0.1671
2014-05-15,0.1911
2014-05-16,0.194
2014-05-17,0.1764
2014-05-18,0.1723
2014-05-19,0.1705
2014-05-20,0.1696
2014-05-21,0.1718
2014-05-22,0.1705
2014-05-23,0.168
2014-05-24,0.167
2014-05-25,0.167
2014-05-26,0.1694
2014-05-27,0.1751
2014-05-28,0.1776
2014-05-29,0.1755
2014-05-30,0.1762
2014-05-31,0.1767
2014-06-01,0.1741
2014-06-02,0.1767
2014-06-03,0.1776
2014-06-04,0.1822
2014-06-05,0.1797
2014-06-06,0.1758
2014-06-07,0.1732
2014-06-08,0.1723
2014-06-09,0.1719
2014-06-10,0.1734
2014-06-11,0.1794
2014-06-12,0.178
2014-06-13,0.1737
2014-06-14,0.1728
2014-06-15,0.1686
2014-06-16,0.1698
2014-06-17,0.1723
2014-06-18,0.1726
2014-06-19,0.1718
2014-06-20,0.1725
2014-06-21,0.1718
2014-06-22,0.1659
2014-06-23,0.1627
2014-06-24,0.1671
2014-06-25,0.1712
2014-06-26,0.171
2014-06-27,0.1709
2014-06-28,0.1716
2014-06-29,0.1714
2014-06-30,0.1714
2014-07-01,0.1718
2014-07-02,0.1735
2014-07-03,0.1993
2014-07-04,0.1808
2014-07-05,0.1739
2014-07-06,0.1718
2014-07-07,0.1725
2014-07-08,0.1723
2014-07-09,0.1739
2014-07-10,0.1728
2014-07-11,0.1734
2014-07-12,0.1707
2014-07-13,0.1702
2014-07-14,0.1705
2014-07-15,0.1709
2014-07-16,0.1677
2014-07-17,0.1673
2014-07-18,0.1646
2014-07-19,0.1648
2014-07-20,0.1662
2014-07-21,0.1668
2014-07-22,0.1602
2014-07-23,0.1563
2014-07-24,0.1655
2014-07-25,0.1753
2014-07-26,0.1583
2014-07-27,0.1575
2014-07-28,0.1556
2014-07-29,0.1545
2014-07-30,0.1549
2014-07-31,0.1556
2014-08-01,0.1575
2014-08-02,0.1567
2014-08-03,0.1567
2014-08-04,0.1545
2014-08-05,0.1545
2014-08-06,0.1547
2014-08-07,0.1538
2014-08-08,0.1551
2014-08-09,0.1746
2014-08-10,0.1655
2014-08-11,0.1764
2014-08-12,0.2117
2014-08-13,0.1748
2014-08-14,0.1631
2014-08-15,0.1616
2014-08-16,0.1604
2014-08-17,0.1609
2014-08-18,0.1625
2014-08-19,0.1606
2014-08-20,0.1556
2014-08-21,0.1547
2014-08-22,0.1492
2014-08-23,0.1396
2014-08-24,0.1801
2014-08-25,0.1632
2014-08-26,0.1556
2014-08-27,0.151
2014-08-28,0.1353
2014-08-29,0.0948
2014-08-30,0.0895
2014-08-31,0.0847
2014-09-01,0.0803
2014-09-02,0.0796
2014-09-03,0.0822
2014-09-04,0.0838
2014-09-05,0.0835
2014-09-06,0.0838
2014-09-07,0.0837
2014-09-08,0.0815
2014-09-09,0.0801
2014-09-10,0.0783
