time,FLOW,TEMP,SALT,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_pon,OGM_dop,OGM_pop,PHS_frp_ads,CAR_dic,SIL_rsi
2013-05-15,0.0151,7.8473,0,597.51,2.3004,0.0968,0.0526,19.1507,172.3564,19.1507,11.3833,2.2767,0.1576,0.3677,0.0526,87.594,82.0653
2013-05-16,0.0151,7.9724,0,597.51,2.2959,0.1009,0.0529,19.1726,172.5533,19.1726,11.3713,2.2743,0.2079,0.4851,0.0529,87.6085,82.0653
2013-05-17,0.0151,8.1041,0,597.51,2.2914,0.105,0.0531,19.1945,172.7502,19.1945,11.3593,2.2719,0.202,0.4714,0.0531,87.623,82.0653
2013-05-18,0.0151,8.2358,0,597.51,2.2869,0.1092,0.0534,19.2163,172.9471,19.2163,11.3474,2.2695,0.1961,0.4576,0.0534,87.6375,82.0653
2013-05-19,0.0151,8.3674,0,597.51,2.2824,0.1133,0.0536,19.2382,173.144,19.2382,11.3354,2.2671,0.1902,0.4439,0.0536,87.652,82.0653
2013-05-20,0.0151,8.4991,0,597.51,2.2779,0.1174,0.0539,19.2601,173.341,19.2601,11.3234,2.2647,0.1844,0.4302,0.0539,87.6665,82.0653
2013-05-21,0.0151,8.6308,0,597.51,2.2734,0.1215,0.0541,19.282,173.5379,19.282,11.3115,2.2623,0.1785,0.4164,0.0541,87.681,82.0653
2013-05-22,0.0151,8.6642,0,597.51,2.2689,0.1257,0.0544,19.3039,173.7348,19.3039,11.2995,2.2599,0.1726,0.4027,0.0544,87.6955,82.0653
2013-05-23,0.0151,8.6976,0,597.51,2.2643,0.1298,0.0546,19.3257,173.9317,19.3257,11.2875,2.2575,0.1667,0.389,0.0546,87.71,82.0653
2013-05-24,0.0151,8.7684,0,597.51,2.2598,0.1339,0.0549,19.3476,174.1286,19.3476,11.2756,2.2551,0.1823,0.4253,0.0549,87.7245,82.0653
2013-05-25,0.0151,8.8392,0,597.51,2.2553,0.138,0.0551,19.3695,174.3255,19.3695,11.2636,2.2527,0.1978,0.4616,0.0551,87.739,82.0653
2013-05-26,0.0151,8.9101,0,597.51,2.2508,0.1422,0.0553,19.3914,174.5224,19.3914,11.2516,2.2503,0.2134,0.4979,0.0553,87.7534,82.0653
2013-05-27,0.0151,8.9809,0,597.51,2.2463,0.1463,0.0556,19.4133,174.7194,19.4133,11.2396,2.2479,0.229,0.5342,0.0556,87.7679,82.0653
2013-05-28,0.0151,9.0517,0,597.51,2.2418,0.1504,0.0558,19.4351,174.9163,19.4351,11.2277,2.2455,0.2445,0.5705,0.0558,87.7824,82.0653
2013-05-29,0.0151,9.1226,0,597.51,2.2373,0.1545,0.0561,19.457,175.1132,19.457,11.2157,2.2431,0.2601,0.6069,0.0561,87.7969,82.0653
2013-05-30,0.0151,9.1934,0,597.51,2.2328,0.1587,0.0563,19.4789,175.3101,19.4789,11.2037,2.2407,0.2756,0.6432,0.0563,87.8114,82.0653
2013-05-31,0.0151,9.249,0,597.51,2.2283,0.1628,0.0566,19.5008,175.507,19.5008,11.1918,2.2384,0.2832,0.6608,0.0566,87.8259,82.0653
2013-06-01,0.0151,9.3046,0,597.51,2.2237,0.1669,0.0568,19.5227,175.7039,19.5227,11.1798,2.236,0.2907,0.6783,0.0568,87.8404,82.0653
2013-06-02,0.0151,9.3602,0,597.51,2.2192,0.171,0.0571,19.5445,175.9009,19.5445,11.1678,2.2336,0.2983,0.6959,0.0571,87.8549,82.0653
2013-06-03,0.0151,9.4159,0,597.51,2.2147,0.1752,0.0573,19.5664,176.0978,19.5664,11.1559,2.2312,0.3058,0.7135,0.0573,87.8694,82.0653
2013-06-04,0.0151,9.4715,0,597.51,2.2102,0.1793,0.0575,19.5883,176.2947,19.5883,11.1439,2.2288,0.3133,0.7311,0.0575,87.8839,82.0653
2013-06-05,0.0151,9.5294,0,597.51,2.2057,0.1834,0.0578,19.6102,176.4916,19.6102,11.1319,2.2264,0.3209,0.7487,0.0578,87.8984,82.0653
2013-06-06,0.0151,9.5872,0,597.51,2.2012,0.1875,0.058,19.6321,176.6885,19.6321,11.12,2.224,0.3284,0.7663,0.058,87.9129,82.0653
2013-06-07,0.0151,9.6278,0,597.51,2.1967,0.1917,0.0583,19.6539,176.8854,19.6539,11.108,2.2216,0.3043,0.7099,0.0583,87.9274,82.0653
2013-06-08,0.0151,9.6685,0,597.51,2.1922,0.1958,0.0585,19.6758,177.0824,19.6758,11.096,2.2192,0.2801,0.6536,0.0585,87.9419,82.0653
2013-06-09,0.0151,9.7091,0,597.51,2.1876,0.1999,0.0588,19.6977,177.2793,19.6977,11.0841,2.2168,0.256,0.5972,0.0588,87.9564,82.0653
2013-06-10,0.0151,9.7497,0,597.51,2.1831,0.2041,0.059,19.7196,177.4762,19.7196,11.0721,2.2144,0.2318,0.5409,0.059,87.9709,82.0653
2013-06-11,0.0151,9.7903,0,597.51,2.1786,0.2082,0.0593,19.7415,177.6731,19.7415,11.0601,2.212,0.2076,0.4845,0.0593,87.9853,82.0653
2013-06-12,0.0151,9.8309,0,597.51,2.1741,0.2123,0.0595,19.7633,177.87,19.7633,11.0482,2.2096,0.1835,0.4282,0.0595,87.9998,82.0653
2013-06-13,0.0151,9.8716,0,597.51,2.1696,0.2164,0.0597,19.7852,178.0669,19.7852,11.0362,2.2072,0.1593,0.3718,0.0597,88.0143,82.0653
2013-06-14,0,9.899,0,0,2.1651,0.2206,0.06,19.8071,178.2639,19.8071,11.0242,2.2048,0.1869,0.4362,0.06,88.0288,82.0653
2013-06-15,0,9.9265,0,0,2.1606,0.2247,0.0602,19.829,178.4608,19.829,11.0122,2.2024,0.2145,0.5006,0.0602,88.0433,82.0653
2013-06-16,0,9.954,0,0,2.1561,0.2288,0.0605,19.8509,178.6577,19.8509,11.0003,2.2001,0.2422,0.565,0.0605,88.0578,82.0653
2013-06-17,0.0151,9.9814,0,597.51,2.1515,0.2329,0.0607,19.8727,178.8546,19.8727,10.9883,2.1977,0.2698,0.6294,0.0607,88.0723,82.0653
2013-06-18,0.0151,10.0089,0,597.51,2.147,0.2371,0.061,19.8946,179.0515,19.8946,10.9763,2.1953,0.2974,0.6938,0.061,88.0868,82.0653
2013-06-19,0.0151,10.0364,0,597.51,2.1425,0.2412,0.0612,19.9165,179.2484,19.9165,10.9644,2.1929,0.325,0.7582,0.0612,88.1013,82.0653
2013-06-20,0.0151,10.0639,0,597.51,2.138,0.2453,0.0615,19.9384,179.4454,19.9384,10.9524,2.1905,0.3526,0.8227,0.0615,88.1158,82.0653
2013-06-21,0,10.0637,0,0,2.1335,0.2494,0.0617,19.9603,179.6423,19.9603,10.9404,2.1881,0.3986,0.93,0.0617,88.1303,82.0653
2013-06-22,0,10.0635,0,0,2.129,0.2536,0.062,19.9821,179.8392,19.9821,10.9285,2.1857,0.4446,1.0374,0.062,88.1448,82.0653
2013-06-23,0,10.0634,0,0,2.1245,0.2577,0.0622,20.004,180.0361,20.004,10.9165,2.1833,0.4906,1.1447,0.0622,88.1593,82.0653
2013-06-24,0,10.0632,0,0,2.12,0.2618,0.0624,20.0259,180.233,20.0259,10.9045,2.1809,0.5366,1.2521,0.0624,88.1738,82.0653
2013-06-25,0,10.063,0,0,2.1155,0.2659,0.0627,20.0478,180.4299,20.0478,10.8926,2.1785,0.5826,1.3594,0.0627,88.1883,82.0653
2013-06-26,0,10.0517,0,0,2.1109,0.2701,0.0629,20.0696,180.6268,20.0696,10.8806,2.1761,0.6286,1.4668,0.0629,88.2027,82.0653
2013-06-27,0,10.0405,0,0,2.1064,0.2742,0.0632,20.0915,180.8238,20.0915,10.8686,2.1737,0.6746,1.5741,0.0632,88.2172,82.0653
2013-06-28,0,10.0383,0,0,2.1434,0.2715,0.0562,20.1134,181.0207,20.1134,10.8278,2.1656,0.6181,1.4423,0.0562,88.2317,82.0653
2013-06-29,0,10.0361,0,0,2.1803,0.2688,0.0491,20.1353,181.2176,20.1353,10.7869,2.1574,0.5616,1.3105,0.0491,88.2462,82.0653
2013-06-30,0,10.0339,0,0,2.2173,0.2661,0.0421,20.1572,181.4145,20.1572,10.7461,2.1492,0.5051,1.1786,0.0421,88.2607,82.0653
2013-07-01,0,10.0318,0,0,2.2542,0.2634,0.0351,20.179,181.6114,20.179,10.7052,2.141,0.4486,1.0468,0.0351,88.2752,82.0653
2013-07-02,0,10.0296,0,0,2.2912,0.2608,0.0281,20.2009,181.8083,20.2009,10.6644,2.1329,0.3921,0.915,0.0281,88.2897,82.0653
2013-07-03,0,10.0274,0,0,2.3282,0.2581,0.0211,20.2228,182.0053,20.2228,10.6236,2.1247,0.3356,0.7831,0.0211,88.3042,82.0653
2013-07-04,0,10.082,0,0,3.2567,0.2802,0.0224,20.2447,182.2022,20.2447,9.819,1.9638,0.3213,0.7497,0.0224,88.3187,82.0653
2013-07-05,0,10.1367,0,0,4.1851,0.3024,0.0237,20.2666,182.3991,20.2666,9.0145,1.8029,0.307,0.7163,0.0237,88.3332,82.0653
2013-07-06,0,10.1913,0,0,5.1136,0.3246,0.025,20.2884,182.596,20.2884,8.21,1.642,0.2927,0.6829,0.025,88.3477,82.0653
2013-07-07,0,10.2459,0,0,6.0421,0.3468,0.0263,20.3103,182.7929,20.3103,7.4055,1.4811,0.2783,0.6495,0.0263,88.3622,82.0653
2013-07-08,0,10.3005,0,0,6.9706,0.369,0.0276,20.3322,182.9898,20.3322,6.601,1.3202,0.264,0.6161,0.0276,88.3767,82.0653
2013-07-09,0,10.3551,0,0,7.8991,0.3911,0.029,20.3541,183.1868,20.3541,5.7965,1.1593,0.2497,0.5827,0.029,88.3912,82.0653
2013-07-10,0,10.4098,0,0,8.8276,0.4133,0.0303,20.376,183.3837,20.376,4.992,0.9984,0.2354,0.5492,0.0303,88.4057,82.0653
2013-07-11,0,10.4644,0,0,9.7561,0.4355,0.0316,20.3978,183.5806,20.3978,4.1874,0.8375,0.2211,0.5158,0.0316,88.4201,82.0653
2013-07-12,0,10.5088,0,0,9.472,0.5363,0.0329,20.4197,183.7775,20.4197,4.3279,0.8656,0.2141,0.4996,0.0329,88.4346,82.0653
2013-07-13,0,10.5533,0,0,9.1879,0.6371,0.0342,20.4416,183.9744,20.4416,4.4683,0.8937,0.2072,0.4835,0.0342,88.4491,82.0653
2013-07-14,0,10.5978,0,0,8.9038,0.7379,0.0355,20.4635,184.1713,20.4635,4.6088,0.9218,0.2003,0.4673,0.0355,88.4636,82.0653
2013-07-15,0,10.6422,0,0,8.6197,0.8387,0.0369,20.4854,184.3683,20.4854,4.7492,0.9498,0.1933,0.4511,0.0369,88.4781,82.0653
2013-07-16,0,10.694,0,0,8.3356,0.9395,0.0382,20.5072,184.5652,20.5072,4.8897,0.9779,0.2661,0.6208,0.0382,88.4926,82.0653
2013-07-17,0,10.7457,0,0,8.0516,1.0403,0.0395,20.5291,184.7621,20.5291,5.0301,1.006,0.3388,0.7906,0.0395,88.5071,82.0653
2013-07-18,0,10.7975,0,0,7.7675,1.1411,0.0408,20.551,184.959,20.551,5.1706,1.0341,0.4116,0.9603,0.0408,88.5216,82.0653
2013-07-19,0,10.7193,0,0,7.4834,1.2419,0.0421,20.5729,185.1559,20.5729,5.311,1.0622,0.4843,1.13,0.0421,88.5361,82.0653
2013-07-20,0,10.6411,0,0,6.5133,1.0753,0.0526,20.5948,185.3528,20.5948,6.246,1.2492,0.4388,1.024,0.0526,88.5506,82.0653
2013-07-21,0,10.563,0,0,5.5432,0.9086,0.0632,20.6166,185.5498,20.6166,7.181,1.4362,0.3934,0.9179,0.0632,88.5651,82.0653
2013-07-22,0,10.4848,0,0,4.5732,0.7419,0.0737,20.6385,185.7467,20.6385,8.116,1.6232,0.3479,0.8118,0.0737,88.5796,82.0653
2013-07-23,0,10.5328,0,0,3.6031,0.5753,0.0842,20.6604,185.9436,20.6604,9.051,1.8102,0.5379,1.255,0.0842,88.5941,82.0653
2013-07-24,0,10.5808,0,0,2.633,0.4086,0.0948,20.6823,186.1405,20.6823,9.986,1.9972,0.7278,1.6982,0.0948,88.6086,82.0653
2013-07-25,0,10.6288,0,0,1.663,0.2419,0.1053,20.7042,186.3374,20.7042,10.9209,2.1842,0.9177,2.1413,0.1053,88.6231,82.0653
2013-07-26,0,10.6802,0,0,3.4368,0.2863,0.0895,20.726,186.5343,20.726,9.3935,1.8787,0.7389,1.7241,0.0895,88.6375,82.0653
2013-07-27,0,10.7315,0,0,5.2106,0.3306,0.0737,20.7479,186.7313,20.7479,7.866,1.5732,0.5601,1.3068,0.0737,88.652,82.0653
2013-07-28,0,10.7829,0,0,6.9845,0.375,0.0579,20.7698,186.9282,20.7698,6.3386,1.2677,0.3812,0.8896,0.0579,88.6665,82.0653
2013-07-29,0,10.8342,0,0,8.7583,0.4194,0.0421,20.7917,187.1251,20.7917,4.8111,0.9622,0.2024,0.4723,0.0421,88.681,82.0653
2013-07-30,0,10.8015,0,0,22.8197,0.3387,0.0421,20.8136,187.322,20.8136,-6.8517,-1.3703,0.3035,0.7081,0.0421,88.6955,82.0653
2013-07-31,0,10.7687,0,0,36.881,0.2581,0.0421,20.8354,187.5189,20.8354,-18.5146,-3.7029,0.4045,0.9439,0.0421,88.71,82.0653
2013-08-01,0.0151,10.7359,0,597.51,50.9424,0.1774,0.0421,20.8573,187.7158,20.8573,-30.1775,-6.0355,0.5056,1.1798,0.0421,88.7245,82.0653
2013-08-02,0.0151,10.8201,0,597.51,39.5233,0.1694,0.0369,20.8792,187.9127,20.8792,-20.6672,-4.1334,0.483,1.1269,0.0369,88.739,82.0653
2013-08-03,0.0151,10.9043,0,597.51,28.1042,0.1613,0.0316,20.9011,188.1097,20.9011,-11.1568,-2.2314,0.4603,1.0741,0.0316,88.7535,82.0653
2013-08-04,0.0151,10.9885,0,597.51,16.6851,0.1532,0.0263,20.923,188.3066,20.923,-1.6465,-0.3293,0.4377,1.0213,0.0263,88.768,82.0653
2013-08-05,0.0151,11.0727,0,597.51,5.2661,0.1452,0.0211,20.9448,188.5035,20.9448,7.8638,1.5728,0.4151,0.9685,0.0211,88.7825,82.0653
2013-08-06,0.0151,11.1569,0,597.51,5.4508,0.1398,0.0281,20.9667,188.7004,20.9667,7.702,1.5404,0.3581,0.8355,0.0281,88.797,82.0653
2013-08-07,0.0151,11.2411,0,597.51,5.6356,0.1344,0.0351,20.9886,188.8973,20.9886,7.5402,1.508,0.3011,0.7025,0.0351,88.8115,82.0653
2013-08-08,0.0151,11.3253,0,597.51,5.8204,0.129,0.0421,21.0105,189.0942,21.0105,7.3784,1.4757,0.2441,0.5695,0.0421,88.826,82.0653
2013-08-09,0.0151,11.9499,0,597.51,6.153,0.1371,0.0395,21.0324,189.2912,21.0324,7.0823,1.4165,0.2192,0.5114,0.0395,88.8405,82.0653
2013-08-10,0.0151,12.5745,0,597.51,6.4856,0.1452,0.0369,21.0542,189.4881,21.0542,6.7861,1.3572,0.1943,0.4534,0.0369,88.855,82.0653
2013-08-11,0.0151,13.1992,0,597.51,6.8182,0.1532,0.0342,21.0761,189.685,21.0761,6.4899,1.298,0.1694,0.3953,0.0342,88.8694,82.0653
2013-08-12,0.0151,13.8238,0,597.51,7.1508,0.1613,0.0316,21.098,189.8819,21.098,6.1938,1.2388,0.1445,0.3373,0.0316,88.8839,82.0653
2013-08-13,0.0151,13.7224,0,597.51,7.6681,0.1505,0.0246,21.1199,190.0788,21.1199,5.7593,1.1519,0.1586,0.3701,0.0246,88.8984,82.0653
2013-08-14,0.0151,13.6209,0,597.51,8.1855,0.1398,0.0175,21.1417,190.2757,21.1417,5.3248,1.065,0.1726,0.4028,0.0175,88.9129,82.0653
2013-08-15,0.0151,13.5195,0,597.51,8.7029,0.129,0.0105,21.1636,190.4727,21.1636,4.8903,0.9781,0.1867,0.4356,0.0105,88.9274,82.0653
2013-08-16,0.0151,13.4181,0,597.51,8.7583,0.1371,0.0158,21.1855,190.6696,21.1855,4.8251,0.965,0.2021,0.4715,0.0158,88.9419,82.0653
2013-08-17,0.0151,13.3166,0,597.51,8.8137,0.1452,0.0211,21.2074,190.8665,21.2074,4.7599,0.952,0.2174,0.5074,0.0211,88.9564,82.0653
2013-08-18,0.0151,13.2152,0,597.51,8.8692,0.1532,0.0263,21.2293,191.0634,21.2293,4.6947,0.9389,0.2328,0.5432,0.0263,88.9709,82.0653
2013-08-19,0.0151,13.1138,0,597.51,8.9246,0.1613,0.0316,21.2511,191.2603,21.2511,4.6295,0.9259,0.2482,0.5791,0.0316,88.9854,82.0653
2013-08-20,0.0151,13.0124,0,597.51,8.98,0.1694,0.0369,21.273,191.4572,21.273,4.5643,0.9129,0.2636,0.615,0.0369,88.9999,82.0653
2013-08-21,0.0151,12.9109,0,597.51,9.0355,0.1774,0.0421,21.2949,191.6542,21.2949,4.4991,0.8998,0.2789,0.6509,0.0421,89.0144,82.0653
2013-08-22,0.0151,12.8095,0,597.51,9.3364,0.1751,0.0376,21.3168,191.8511,21.3168,4.238,0.8476,0.2689,0.6275,0.0376,89.0289,82.0653
2013-08-23,0.0151,12.7081,0,597.51,9.6373,0.1728,0.0331,21.3387,192.048,21.3387,3.9768,0.7954,0.2589,0.6042,0.0331,89.0434,82.0653
2013-08-24,0.0151,12.6067,0,597.51,9.9382,0.1705,0.0286,21.3605,192.2449,21.3605,3.7157,0.7431,0.249,0.5809,0.0286,89.0579,82.0653
2013-08-25,0.0151,12.5052,0,597.51,10.2392,0.1682,0.0241,21.3824,192.4418,21.3824,3.4546,0.6909,0.239,0.5576,0.0241,89.0724,82.0653
2013-08-26,0.0151,12.4038,0,597.51,10.5401,0.1659,0.0196,21.4043,192.6387,21.4043,3.1934,0.6387,0.229,0.5343,0.0196,89.0868,82.0653
2013-08-27,0.0151,12.3024,0,597.51,10.841,0.1636,0.015,21.4262,192.8357,21.4262,2.9323,0.5865,0.219,0.5109,0.015,89.1013,82.0653
2013-08-28,0.0151,12.2009,0,597.51,11.1419,0.1613,0.0105,21.4481,193.0326,21.4481,2.6712,0.5342,0.209,0.4876,0.0105,89.1158,82.0653
2013-08-29,0.0151,12.2355,0,597.51,11.1973,0.1751,0.015,21.4699,193.2295,21.4699,2.6012,0.5202,0.2026,0.4728,0.015,89.1303,82.0653
2013-08-30,0.0151,12.2701,0,597.51,11.2528,0.1889,0.0196,21.4918,193.4264,21.4918,2.5312,0.5062,0.1963,0.4581,0.0196,89.1448,82.0653
2013-08-31,0.0151,12.3047,0,597.51,11.3082,0.2028,0.0241,21.5137,193.6233,21.5137,2.4612,0.4922,0.19,0.4433,0.0241,89.1593,82.0653
2013-09-01,0.0151,12.3393,0,597.51,11.3636,0.2166,0.0286,21.5356,193.8202,21.5356,2.3912,0.4782,0.1836,0.4285,0.0286,89.1738,82.0653
2013-09-02,0.0151,12.3738,0,597.51,11.4191,0.2304,0.0331,21.5575,194.0172,21.5575,2.3211,0.4642,0.1773,0.4137,0.0331,89.1883,82.0653
2013-09-03,0.0151,12.4084,0,597.51,11.4745,0.2442,0.0376,21.5793,194.2141,21.5793,2.2511,0.4502,0.171,0.3989,0.0376,89.2028,82.0653
2013-09-04,0.0151,12.443,0,597.51,11.5299,0.2581,0.0421,21.6012,194.411,21.6012,2.1811,0.4362,0.1646,0.3841,0.0421,89.2173,82.0653
2013-09-05,0.0151,12.4776,0,597.51,11.4824,0.2558,0.0421,21.6231,194.6079,21.6231,2.2104,0.4421,0.1947,0.4542,0.0421,89.2318,82.0653
2013-09-06,0.0151,12.5121,0,597.51,11.4349,0.2535,0.0421,21.645,194.8048,21.645,2.2396,0.4479,0.2247,0.5243,0.0421,89.2463,82.0653
2013-09-07,0.0151,12.5467,0,597.51,11.3874,0.2512,0.0421,21.6669,195.0017,21.6669,2.2688,0.4538,0.2547,0.5943,0.0421,89.2608,82.0653
2013-09-08,0.0151,12.5813,0,597.51,11.3399,0.2488,0.0421,21.6887,195.1986,21.6887,2.298,0.4596,0.2847,0.6644,0.0421,89.2753,82.0653
2013-09-09,0.0151,12.6159,0,597.51,11.2924,0.2465,0.0421,21.7106,195.3956,21.7106,2.3273,0.4655,0.3148,0.7345,0.0421,89.2898,82.0653
2013-09-10,0.0151,12.6505,0,597.51,11.2449,0.2442,0.0421,21.7325,195.5925,21.7325,2.3565,0.4713,0.3448,0.8046,0.0421,89.3042,82.0653
2013-09-11,0.0151,12.685,0,597.51,11.1973,0.2419,0.0421,21.7544,195.7894,21.7544,2.3857,0.4771,0.3748,0.8746,0.0421,89.3187,82.0653
2013-09-12,0.0151,12.7196,0,597.51,11.3399,0.2442,0.0421,21.7763,195.9863,21.7763,2.2527,0.4505,0.3431,0.8007,0.0421,89.3332,82.0653
2013-09-13,0.0151,12.7542,0,597.51,11.4824,0.2465,0.0421,21.7981,196.1832,21.7981,2.1197,0.4239,0.3115,0.7267,0.0421,89.3477,82.0653
2013-09-14,0.0151,12.7888,0,597.51,11.625,0.2488,0.0421,21.82,196.3801,21.82,1.9867,0.3973,0.2798,0.6528,0.0421,89.3622,82.0653
2013-09-15,0.0151,12.8233,0,597.51,11.7675,0.2512,0.0421,21.8419,196.5771,21.8419,1.8537,0.3707,0.2481,0.5788,0.0421,89.3767,82.0653
2013-09-16,0.0151,12.8579,0,597.51,11.91,0.2535,0.0421,21.8638,196.774,21.8638,1.7207,0.3441,0.2164,0.5049,0.0421,89.3912,82.0653
2013-09-17,0.0151,12.8925,0,597.51,12.0526,0.2558,0.0421,21.8857,196.9709,21.8857,1.5877,0.3175,0.1847,0.431,0.0421,89.4057,82.0653
2013-09-18,0.0151,12.9271,0,597.51,12.1951,0.2581,0.0421,21.9075,197.1678,21.9075,1.4548,0.291,0.153,0.357,0.0421,89.4202,82.0653
2013-09-19,0.0151,12.9566,0,597.51,12.6861,0.2627,0.0361,21.9294,197.3647,21.9294,1.0295,0.2059,0.1573,0.367,0.0361,89.4347,82.0653
2013-09-20,0.0151,12.9862,0,597.51,13.1771,0.2673,0.0301,21.9513,197.5616,21.9513,0.6042,0.1208,0.1616,0.3771,0.0301,89.4492,82.0653
