"DateTime","Depth","Observed_CAR_ch4","Modeled_CAR_ch4"
2015-03-31,0.1,0.067583484,0
2015-03-31,1.6,0.069565417,0.0168400585384181
2015-03-31,3.8,0.072427429,0.019887724642252
2015-03-31,5,0.06799593,0.018624435572799
2015-03-31,6.2,0.060762289,0.0179248527981433
2015-03-31,8,0.023887925,0.0186583452280374
2015-03-31,9,0.033123988,0.0185373824670061
2015-04-07,0.1,0.006145841,0.0052918335192734
2015-04-07,1.6,0.103644874,0.0468748939127597
2015-04-07,3.8,0.124898943,0.106293893400217
2015-04-07,5,0.044343269,0.156814315013678
2015-04-07,6.2,0.027104599,0.164185704408612
2015-04-07,8,0.022061956,0.122674506560644
2015-04-07,9,0.036024573,0.122520440113333
2015-04-13,0.1,0.179576596,0.00119921299862426
2015-04-13,1.6,0.193236302,0.0285387658957133
2015-04-13,3.8,0.096140334,1.01508002449886
2015-04-13,5,0.036708328,0.515145761000716
2015-04-13,6.2,0.041555333,0.253073235758532
2015-04-13,8,0.05719717,0.205320316407953
2015-04-13,9,0.064962983,0.205148042022413
2015-04-21,0.1,0.2393179615,0
2015-04-21,1.6,0.25303748,0.0355112599673737
2015-04-21,3.8,0.09998738,1.23592894799755
2015-04-21,5,0.089796948,1.32821500969553
2015-04-21,6.2,0.117685186,0.489263453768651
2015-04-21,8,0.141159046,0.319302011060453
2015-04-21,9,0.114283283,0.319105287920259
2015-04-28,0.1,0.161834734,0.0030363149606048
2015-04-28,1.6,0.175045199,0.0168766822847644
2015-04-28,3.8,0.175658069,0.0291756613291511
2015-04-28,5,0.0453560225,0.0592652849126801
2015-04-28,6.2,0.029341202,0.536449461645769
2015-04-28,8,0.0221445975,0.473021425276912
2015-04-28,9,0.0490244985,0.47278888938505
2015-05-05,0.1,0.2321463425,0.00413085775143371
2015-05-05,1.6,0.2289358995,0.0337939837558191
2015-05-05,3.8,0.2414858485,0.654394574332782
2015-05-05,5,0.14569953,0.178087157465307
2015-05-05,6.2,0.030393907,0.453322116670829
2015-05-05,8,0.052064588,0.600872308440002
2015-05-05,9,0.3210024345,0.600606403510328
2015-05-11,0.1,0.368992974,0.01862618537085
2015-05-11,1.6,0.4095092865,0.059903340157273
2015-05-11,3.8,0.270875873,1.6277747218952
2015-05-11,5,0.100766975,0.323597535971663
2015-05-11,6.2,0.0417418805,0.468261394290595
2015-05-11,8,0.0727666595,0.599730021044645
2015-05-11,9,0.0502259045,0.599558620736753
2015-05-18,0.1,0.3742653725,0.0297460801425443
2015-05-18,1.6,0.5476545495,0.0728272076785728
2015-05-18,3.8,0.597649354,1.39040450414989
2015-05-18,5,0.1832217065,0.541670545809247
2015-05-18,6.2,0.1851877755,0.524009534625052
2015-05-18,8,0.0440941595,0.657407018993783
2015-05-18,9,0.0385172885,0.657222981770886
2015-05-25,0.1,0.375809207,0.0117993284605693
2015-05-25,1.6,0.4727596185,0.0500530042736774
2015-05-25,3.8,0.77212696,1.45935382015216
2015-05-25,5,0.38083873,0.676169520537773
2015-05-25,6.2,0.2646751255,0.614236015918344
2015-05-25,8,0.039996961,0.615165156878983
2015-05-25,9,0.065848754,0.614769088742469
2015-06-01,0.1,0.488723956,0.0362216179305878
2015-06-01,1.6,0.497967305333333,0.0995162457633444
2015-06-01,3.8,0.58168332575,3.10675845272258
2015-06-01,5,0.334456146,0.788713913024306
2015-06-01,6.2,0.14515795175,0.678636186714249
2015-06-01,8,0.08104297325,0.679679291181264
2015-06-01,9,0.10092204825,0.67923466736546
2015-06-08,0.1,0.4072357365,0.000647405439433785
2015-06-08,1.6,0.508566487,0.0810061172008374
2015-06-08,3.8,0.098202929,4.77707713436631
2015-06-08,5,0.044222655,0.924730552376122
2015-06-08,6.2,0.0857031335,0.756280436806441
2015-06-08,8,0.2160675735,0.757624643954643
2015-06-08,9,0.2527157065,0.757047526598348
2015-06-15,0.1,0.39398654,0.00701915860467724
2015-06-15,1.6,0.428958563,0.120054264441728
2015-06-15,3.8,0.059757851,4.30110316590626
2015-06-15,5,0.1302843615,1.20059640614279
2015-06-15,6.2,0.1014091205,0.859568121636541
2015-06-15,8,0.1246076845,0.861175059161677
2015-06-15,9,0.129313073,0.860486478913322
2015-06-22,0.1,0.3869144115,0.0732928747286487
2015-06-22,1.6,0.714818209,0.196472143726488
2015-06-22,3.8,0.173176671,5.30623064881151
2015-06-22,5,0.055989014,1.53089118798422
2015-06-22,6.2,0.1998944535,0.980631627313316
2015-06-22,8,0.27070441,0.982558052847917
2015-06-22,9,0.268468562,0.981731687540629
2015-06-29,0.1,0.3317833155,0.0367171197262123
2015-06-29,1.6,0.3581207085,0.287940637301551
2015-06-29,3.8,0.1643555725,3.86602978983732
2015-06-29,5,0.0766081495,1.93543206079492
2015-06-29,6.2,0.0542884645,1.11824936171538
2015-06-29,8,0.088038758,1.12040729146277
2015-06-29,9,0.067192589,1.1194834643716
2015-07-06,0.1,0.4528349765,0.0268621536372782
2015-07-06,1.6,0.537056086,0.133189431754043
2015-07-06,3.8,0.206941619,5.25682745659914
2015-07-06,5,0.174135836,2.08035334846518
2015-07-06,6.2,0.176446833,1.24964674866036
2015-07-06,8,0.0084218065,1.25198646863867
2015-07-06,9,0.005860171,1.25097428351261
2015-07-13,0.1,0.4229771425,0.324449761379768
2015-07-13,1.6,0.59313231,0.421757009174266
2015-07-13,3.8,0.262831925,7.52040750444576
2015-07-13,5,1.8760237585,2.25280962626734
2015-07-13,6.2,1.050765551,1.37323613112954
2015-07-13,8,0.15618934,1.37577336291895
2015-07-13,9,0.183123149,1.37467291705817
