"DateTime","Depth","Observed_PHY_TCHLA","Modeled_PHY_TCHLA"
2013-05-21,0.1,1.4481,0.770459133701443
2013-05-21,1,3.4794,0.770581525561041
2013-05-21,2,3.9079,0.470073603031767
2013-05-21,3,3.8325,0.407494857695605
2013-05-21,4,4.0388,0.407612581815733
2013-05-21,5,3.3326,0.406454617960432
2013-05-21,6,2.0035,0.406455288934985
2013-05-21,7,2.075,0.406450363390534
2013-05-21,8,2.071,0.406438693730298
2013-05-21,9,2.0789,0.406445264198519
2013-05-21,9.2,1.9361,0.406445264198519
2013-05-23,0.1,2.5907,0.89255222104741
2013-05-23,1,3.0112,0.886423633009665
2013-05-23,2,4.7688,0.639690889839033
2013-05-23,3,4.9592,0.383563088001214
2013-05-23,4,5.0108,0.38314942954101
2013-05-23,5,3.0866,0.38226004922463
2013-05-23,6,2.6661,0.382260668810633
2013-05-23,7,2.3368,0.382256074939592
2013-05-23,8,2.3844,0.38224518102307
2013-05-23,9,2.19,0.38225131429579
2013-05-23,9.2,2.1424,0.38225131429579
2013-05-30,0.1,1.5116,1.33366902931843
2013-05-30,1,1.7417,1.33388554022246
2013-05-30,2,2.8407,1.17545867301341
2013-05-30,3,4.9592,0.7204180475009
2013-05-30,4,7.4428,0.333068778133772
2013-05-30,5,5.1258,0.30574494820422
2013-05-30,6,4.015,0.303994407306904
2013-05-30,7,4.0507,0.303989816048756
2013-05-30,8,4.0824,0.3039816600691
2013-05-30,9,4.1023,0.303986271206318
2013-05-30,9.2,4.3006,0.303986271206318
2013-06-04,0.1,1.8131,1.22177492309152
2013-06-04,1,2.7811,1.22175547858293
2013-06-04,2,3.7769,1.19747888871899
2013-06-04,3,5.4353,0.901276424688849
2013-06-04,4,6.8754,0.319266786669633
2013-06-04,5,3.8444,0.261065220658593
2013-06-04,6,3.2096,0.255696960440405
2013-06-04,7,3.1342,0.255690725056428
2013-06-04,8,3.0271,0.255683905019162
2013-06-04,9,3.3485,0.255687751691636
2013-06-04,9.2,3.2771,0.255687751691636
2013-06-06,0.1,1.095,1.17604742205091
2013-06-06,1,1.0474,1.1763538729564
2013-06-06,2,4.5387,1.15424353885931
2013-06-06,3,6.0423,0.891719331910063
2013-06-06,4,6.566,0.316417854008827
2013-06-06,5,3.6143,0.245604187525674
2013-06-06,6,3.7849,0.238256176048906
2013-06-06,7,3.1937,0.238248808857373
2013-06-06,8,3.1461,0.23824240202529
2013-06-06,9,3.1382,0.238246006824326
2013-06-06,9.2,3.162,0.238246006824326
2013-06-13,0.1,2.3249,1.10256670286286
2013-06-13,1,2.6383,1.10256150140163
2013-06-13,2,4.5228,1.07384553593162
2013-06-13,3,7.9268,0.823747149442903
2013-06-13,4,8.4902,0.308193556012565
2013-06-13,5,2.3884,0.202696590120383
2013-06-13,6,2.2733,0.185370270710842
2013-06-13,7,1.9996,0.18535700305349
2013-06-13,8,2.1265,0.185352226683374
2013-06-13,9,2.0115,0.185354916547981
2013-06-13,9.2,2.0115,0.185354916547981
2013-06-20,0.1,1.8925,1.22177380973788
2013-06-20,1,2.4003,1.23413272513582
2013-06-20,2,4.7013,1.21295546442452
2013-06-20,3,6.8754,0.901520224219841
2013-06-20,4,6.3756,0.296215703361496
2013-06-20,5,3.2215,0.17287525762618
2013-06-20,6,2.2257,0.144339939872764
2013-06-20,7,2.7058,0.144320031621254
2013-06-20,8,2.3884,0.144316479568726
2013-06-20,9,2.7097,0.144318479868196
2013-06-20,9.2,2.7097,0.144318479868196
2013-06-25,0.1,1.1268,1.34094629352545
2013-06-25,1,1.341,1.33770759838867
2013-06-25,2,2.7296,1.29266096575043
2013-06-25,3,8.4902,0.93801782402661
2013-06-25,4,7.0143,0.268957594618867
2013-06-25,5,3.162,0.147627620593445
2013-06-25,6,2.0194,0.120330811741458
2013-06-25,7,1.9004,0.1203116490949
2013-06-25,8,1.6941,0.12030882371846
2013-06-25,9,1.7417,0.120310417331374
2013-06-25,9.2,1.8131,0.120310417331374
2013-06-27,0.1,0.369,1.3873273568399
2013-06-27,1,1.2537,1.38731470390493
2013-06-27,2,2.9597,1.32215404108864
2013-06-27,3,7.8752,0.929984297913449
2013-06-27,4,6.808,0.262430300109917
2013-06-27,5,3.2175,0.139325722064214
2013-06-27,6,2.0035,0.111840170219816
2013-06-27,7,1.3688,0.111820782012809
2013-06-27,8,1.5037,0.111818187146672
2013-06-27,9,1.821,0.111819650103693
2013-06-27,9.2,2.2019,0.111819650103693
2013-07-03,0.1,4.0547,1.80556992600389
2013-07-03,1,4.8957,1.81126322598289
2013-07-03,2,4.0388,1.73177888633125
2013-07-03,3,7.8117,1.17495607601501
2013-07-03,4,8.9147,0.25501872511793
2013-07-03,5,6.9032,0.121669814398336
2013-07-03,6,2.7216,0.0899464664809821
2013-07-03,7,1.4362,0.0899241634506178
2013-07-03,8,1.1783,0.0899221188226872
2013-07-03,9,1.6108,0.0899232667776583
2013-07-03,9.2,1.3767,0.0899232667776583
2013-07-11,0.1,5.0782,2.61583619032641
2013-07-11,1,8.3473,2.53955226070284
2013-07-11,2,7.3436,2.32155127367233
2013-07-11,3,7.4864,1.42243152377705
2013-07-11,4,12.7947,0.21308159225458
2013-07-11,5,5.7447,0.0972228768400976
2013-07-11,6,3.5191,0.0672133690945399
2013-07-11,7,2.7613,0.0671937073331872
2013-07-11,8,2.0869,0.067192328061968
2013-07-11,9,1.9956,0.0671931051418914
2013-07-11,9.2,1.948,0.0671931051418914
2013-07-15,0.1,3.8999,3.04980628565945
2013-07-15,1,4.7688,2.93942557668234
2013-07-15,2,8.6211,2.66518550033027
2013-07-15,3,5.8241,1.65389463112781
2013-07-15,4,7.2563,0.207833782134579
2013-07-15,5,5.1973,0.0880361171425686
2013-07-15,6,3.6421,0.0580599681110301
2013-07-15,7,2.1226,0.0580416587479789
2013-07-15,8,2.1384,0.0580405082717673
2013-07-15,9,1.702,0.0580411559704771
2013-07-15,9.2,1.5473,0.0580411559704771
2013-07-18,0.1,3.1779,4.00560023209323
2013-07-18,1,4.9156,4.00453578555655
2013-07-18,2,8.6131,2.8018211126382
2013-07-18,3,8.4306,0.979043568127737
2013-07-18,4,10.8864,0.185891571950163
2013-07-18,5,6.5263,0.0781675738852221
2013-07-18,6,3.0946,0.0518527808870489
2013-07-18,7,2.0631,0.0518369144647566
2013-07-18,8,2.0194,0.0518359206752733
2013-07-18,9,1.3331,0.0518364804214664
2013-07-18,9.2,1.3331,0.0518364804214664
2013-07-22,0.1,3.9475,4.26765024366424
2013-07-22,1,4.7013,4.06328991404336
2013-07-22,2,11.5688,3.67925227538641
2013-07-22,3,9.5375,2.19176133387123
2013-07-22,4,7.2285,0.159686061917329
2013-07-22,5,9.0138,0.066018791403146
2013-07-22,6,2.5074,0.0444469999965153
2013-07-22,7,1.4918,0.0444344846342724
2013-07-22,8,1.6941,0.0444336795283339
2013-07-22,9,1.3688,0.044434134111781
2013-07-22,9.2,1.3688,0.044434134111781
2013-07-25,0.1,3.0787,4.58252643920217
2013-07-25,1,3.5111,4.56465341464505
2013-07-25,2,8.3672,4.2826378491588
2013-07-25,3,13.4771,2.10907490012907
2013-07-25,4,9.5455,0.149144145688725
2013-07-25,5,11.422,0.0582205945072403
2013-07-25,6,4.1538,0.0394946136142291
2013-07-25,7,2.7058,0.0394842414797614
2013-07-25,8,2.5391,0.0394835522466611
2013-07-25,9,1.8806,0.039483941916094
2013-07-25,9.2,1.9004,0.039483941916094
2013-07-29,0.1,2.7177,5.1271985171523
2013-07-29,1,3.2929,5.05239921468927
2013-07-29,2,4.737,4.93763677225658
2013-07-29,3,16.9366,3.13153664753661
2013-07-29,4,8.4465,0.13945336886162
2013-07-29,5,5.225,0.0491204811421615
2013-07-29,6,3.4834,0.0335974565657165
2013-07-29,7,2.0829,0.033589411619184
2013-07-29,8,1.456,0.0335888436799856
2013-07-29,9,1.3093,0.0335891646151977
2013-07-29,9.2,1.6385,0.0335891646151977
2013-08-01,0.1,2.9517,5.44848865987726
2013-08-01,1,3.166,5.44732744112725
2013-08-01,2,4.6815,5.43374924154557
2013-08-01,3,20.8167,2.94243480601356
2013-08-01,4,12.4456,0.125257871720097
2013-08-01,5,4.2491,0.042308173187885
2013-08-01,6,4.499,0.0296468834313422
2013-08-01,7,3.2056,0.0296405193712952
2013-08-01,8,1.5751,0.0296400331579743
2013-08-01,9,2.3408,0.0296403080957833
2013-08-01,9.2,2.3447,0.0296403080957833
2013-08-08,0.1,1.2974,5.92465209267351
2013-08-08,1,1.3013,5.92298026238789
2013-08-08,2,5.1973,5.9212830362222
2013-08-08,3,9.843,2.72514439862362
2013-08-08,4,16.7343,0.126010155181329
2013-08-08,5,2.9002,0.0311514407518942
2013-08-08,6,2.7137,0.022263140102109
2013-08-08,7,2.7097,0.0222598302587256
2013-08-08,8,2.7692,0.0222598302587256
2013-08-08,9,3.043,0.0222598302587256
2013-08-08,9.2,3.043,0.0222598302587256
2013-08-12,0.1,0.7737,5.78842552262325
2013-08-12,1,1.0752,5.74833286145675
2013-08-12,2,4.0824,5.68079550106248
2013-08-12,3,11.4657,3.72888146345978
2013-08-12,4,14.096,0.138405677995218
2013-08-12,5,3.2969,0.0272510075453471
2013-08-12,6,2.7891,0.0190045093138193
2013-08-12,7,2.6701,0.0190022341233631
2013-08-12,8,2.7732,0.0190022341233631
2013-08-12,9,2.7137,0.0190022341233631
2013-08-12,9.2,2.7137,0.0190022341233631
2013-08-28,0.1,2.3408,6.42370814048981
2013-08-28,1,2.5312,6.3742401473822
2013-08-28,2,5.2607,6.09741030565266
2013-08-28,3,12.6717,4.08665768530388
2013-08-28,4,16.3852,0.497994123485518
2013-08-28,5,4.2253,0.143164022011735
2013-08-28,6,4.2848,0.0143490645905879
2013-08-28,7,4.1657,0.0143488833497092
2013-08-28,8,4.0507,0.0143484577283339
2013-08-28,9,4.3046,0.0143486980931264
2013-08-28,9.2,4.2411,0.0143486980931264
2013-09-18,0.1,2.2733,5.93036391345505
2013-09-18,1,2.3685,5.92881414629595
2013-09-18,2,2.6383,5.8887611199562
2013-09-18,3,2.7573,5.87925824203544
2013-09-18,4,24.792,5.41273240836405
2013-09-18,5,6.4827,0.36131199999087
2013-09-18,6,6.6136,0.0147544568006083
2013-09-18,7,6.1177,0.0147542315172662
2013-09-18,8,6.6374,0.0147537882287433
2013-09-18,9,6.3835,0.0147540414795585
2013-09-18,9.2,6.3914,0.0147540414795585
2013-09-25,0.1,3.162,6.09387543447456
2013-09-25,1,3.2771,6.09262444629721
2013-09-25,2,3.4119,6.09191578575013
2013-09-25,3,5.5265,4.38820053400465
2013-09-25,4,20.6659,1.99292619892139
2013-09-25,5,6.8913,0.4636463514511
2013-09-25,6,5.5702,0.016050344799039
2013-09-25,7,5.6813,0.0158151524973927
2013-09-25,8,5.5821,0.0158146898387582
2013-09-25,9,5.0941,0.0158149576126924
2013-09-25,9.2,5.5702,0.0158149576126924
2013-10-16,0.1,5.1377,5.70999170591968
2013-10-16,1,5.7408,5.64554162465042
2013-10-16,2,6.2407,5.53649661631189
2013-10-16,3,6.923,5.26223812960617
2013-10-16,4,5.3798,3.55723881726056
2013-10-16,5,13.9572,1.71786018479608
2013-10-16,6,3.9555,0.281429673804319
2013-10-16,7,3.1303,0.0236895336697463
2013-10-16,8,3.2652,0.0144907289019758
2013-10-16,9,3.1342,0.0144908861474751
2013-10-16,9.2,3.3485,0.0144908861474751
2013-10-23,0.1,4.8838,5.60847400741693
2013-10-23,1,5.2449,5.60748487076545
2013-10-23,2,5.7447,5.60734960693175
2013-10-23,3,6.1812,5.60413451808223
2013-10-23,4,6.2327,5.60381933840001
2013-10-23,5,4.2094,3.1453324648921
2013-10-23,6,1.6862,0.238018406933315
2013-10-23,7,1.5433,0.323068939583912
2013-10-23,8,1.4719,0.545698632559007
2013-10-23,9,1.4719,0.54570748785897
2013-10-23,9.2,1.4957,0.54570748785897
2013-10-30,0.1,5.4393,6.80931525905027
2013-10-30,1,5.8439,6.80833290091428
2013-10-30,2,5.7567,6.37033993664347
2013-10-30,3,6.2407,5.88904629484456
2013-10-30,4,5.5583,5.17297102079432
2013-10-30,5,6.1097,5.12329131405535
2013-10-30,6,6.3637,4.26308791855432
2013-10-30,7,6.1574,2.41672974885234
2013-10-30,8,5.9987,2.41659714966813
2013-10-30,9,6.201,2.41666706693618
2013-10-30,9.2,5.8757,2.41666706693618
2013-11-06,0.1,3.0192,6.83217210009696
2013-11-06,1,3.9594,6.80794117380855
2013-11-06,2,4.9592,6.7347376537637
2013-11-06,3,5.1377,6.70765334138904
2013-11-06,4,5.3282,6.70305084436259
2013-11-06,5,5.7447,6.5902805734921
2013-11-06,6,5.4432,6.38716621893991
2013-11-06,7,5.6932,4.30248521993001
2013-11-06,8,5.6932,2.31367943516163
2013-11-06,9,5.2171,2.31372538259197
2013-11-06,9.2,5.1219,2.31372538259197
2013-11-20,0.1,2.6701,5.05608694315686
2013-11-20,1,3.9277,5.05569749287755
2013-11-20,2,3.6262,5.05556587865189
2013-11-20,3,3.6143,5.0546485573879
2013-11-20,4,3.8722,5.0528586549522
2013-11-20,5,3.3643,5.05069691414889
2013-11-20,6,3.4239,5.04050304451403
2013-11-20,7,3.5032,4.70213349613002
2013-11-20,8,3.8206,3.3106141365703
2013-11-20,9,3.8047,3.31060239133979
2013-11-20,9.2,4.5823,3.31060239133979
2013-12-04,0.1,4.4514,3.63375665400312
