DateTime,Ksed_oxy,Fsed_oxy,Fsed_oxy.1,RMSE
2020-07-02 22:28:40,38.3971894785715,-22.4322633699444,-48.2793465988921,112.823485765419
2020-07-02 22:28:29,38.7597709909351,-22.3801433280537,-48.7362040142989,139.93486822142
2020-07-02 22:28:16,38.3455471046167,-22.4372663382288,-48.2089487784616,110.147864630917
2020-07-02 22:28:06,38.0848648776876,-22.558231843659,-47.6864979441635,113.34047713465
2020-07-02 22:27:55,38.2557738898851,-22.4950187409417,-47.9733563024607,119.836046322265
2020-07-02 22:27:45,38.2824061964201,-22.4288856181974,-48.1759164975127,143.375990082251
2020-07-02 22:27:35,38.4535575715016,-22.4760246012155,-48.2773617585799,111.488497149305
2020-07-02 22:27:24,38.3601507462023,-22.4712835796213,-48.1476941515698,134.63441240646
2020-07-02 22:27:14,38.4212382464617,-22.4499124188014,-48.2223911621602,108.125007610111
2020-07-02 22:27:03,38.2650766353834,-22.456932678197,-48.0862916387942,122.993881979248
2020-07-02 22:26:53,38.2893014404404,-22.4955778981413,-48.0444550537729,117.004812937146
2020-07-02 22:26:43,38.1128271872899,-22.5122355915682,-47.7924842134215,129.706056186277
2020-07-02 22:26:32,38.3797245452489,-22.4444172662694,-48.2144953583361,104.83284851078
2020-07-02 22:26:22,38.6282303531579,-22.4103477013224,-48.5488672275655,119.599934732916
2020-07-02 22:26:11,38.4263257971626,-22.4206182298669,-48.4316305047478,114.64771571583
2020-07-02 22:26:01,38.2257139324288,-22.4954134452422,-47.9830167666853,103.922270843992
2020-07-02 22:25:51,38.1187444289681,-22.4651616054881,-47.9546600596887,137.424324457571
2020-07-02 22:25:40,38.3080779727415,-22.4065334248026,-48.2378096358653,138.456613768925
2020-07-02 22:25:30,38.5050187886039,-22.4354687148639,-48.4103711500394,140.385364350617
2020-07-02 22:25:20,38.1725700902927,-22.4981687382854,-47.9540529784668,109.072971543534
2020-07-02 22:25:09,38.5660257894753,-22.4099564888309,-48.505569147736,109.60676654339
2020-07-02 22:24:59,38.4114045799942,-22.3951010759659,-48.3895891350788,116.779880612425
2020-07-02 22:24:48,38.4405374698528,-22.4393284107019,-48.2061195211308,117.758876046394
2020-07-02 22:24:38,38.2732779033034,-22.4410988818983,-48.1435463362277,108.116663955871
2020-07-02 22:24:28,38.545676029673,-22.3659326050183,-48.5006885441902,122.728416750167
2020-07-02 22:24:17,38.3595825555339,-22.43716752772,-48.1658403264017,113.368159669698
2020-07-02 22:24:07,38.5664312184142,-22.4400349523972,-48.4854190659162,126.906725799244
2020-07-02 22:23:56,38.2727021207129,-22.4445020903735,-48.1706816965428,131.103835166198
2020-07-02 22:23:46,38.4669825180157,-22.4188726204637,-48.4176953322872,119.115806231806
2020-07-02 22:23:35,38.3842148951028,-22.4538627434376,-48.2127228981821,111.265563235377
2020-07-02 22:23:25,38.6873842488039,-22.4495118855537,-48.5950478060729,107.048127822736
2020-07-02 22:23:15,38.2331274750963,-22.5015519986398,-48.019408075963,111.403263836263
2020-07-02 22:23:04,38.3705002632625,-22.4581575362828,-48.2274543273979,136.677012911697
2020-07-02 22:22:54,38.2575307375356,-22.4739665937844,-47.984205672268,108.989327592186
2020-07-02 22:22:44,38.4037376649347,-22.4435642831188,-48.2992113879935,106.67104591788
2020-07-02 22:22:33,38.0201053162435,-22.4999569417115,-47.6733787531098,113.750132124806
2020-07-02 22:22:23,38.2276821529429,-22.4706923168663,-47.9516403678676,125.409941758741
2020-07-02 22:22:12,38.2124946295785,-22.5022374150376,-48.0367983854475,113.334089450709
2020-07-02 22:22:02,38.1640876451911,-22.4955288483667,-47.8752581834104,108.912373270801
2020-07-02 22:21:51,38.4578815721635,-22.4868727553571,-48.2449713955219,146.981311129866
2020-07-02 22:21:41,38.2386730749031,-22.5019121792316,-47.9752012425109,105.127665053128
2020-07-02 22:21:30,38.2484787391914,-22.4950365223151,-48.0767291418904,144.009913596529
2020-07-02 22:21:20,38.4878288459332,-22.4519745868231,-48.292780574403,109.86909063784
2020-07-02 22:21:09,38.4767628744795,-22.495350217447,-48.2196658788756,131.275614341856
2020-07-02 22:20:59,38.155293542092,-22.4663485627468,-47.9684836600722,119.179626399869
2020-07-02 22:20:49,38.3698014643998,-22.5003076198317,-48.1491973557975,109.263572397655
2020-07-02 22:20:38,38.5668865297965,-22.4872910577662,-48.2693603946732,136.660009426626
2020-07-02 22:20:28,38.2836722407004,-22.4479061563416,-48.1699933908905,117.744067404931
2020-07-02 22:20:18,38.766275779926,-22.3931967193775,-48.6720197167343,134.915000073124
2020-07-02 22:20:07,38.2551028762427,-22.5359530045929,-47.8852276893717,120.078623944706
2020-07-02 22:19:57,38.5138674874557,-22.4400870782052,-48.4267383226407,112.776740808528
2020-07-02 22:19:47,38.5232135207425,-22.434238834278,-48.3120979423628,117.873887522874
2020-07-02 22:19:36,38.7391794946477,-22.3012945922339,-48.9385815458417,114.928905279694
2020-07-02 22:19:26,38.4214306991777,-22.5053623665385,-48.2107533115396,114.585684037193
2020-07-02 22:19:16,38.6759850313113,-22.5291285638726,-48.4481722198338,119.354683761723
2020-07-02 22:19:05,38.4980677044656,-22.4986814796238,-48.3148615086531,123.647640336979
2020-07-02 22:18:55,38.524196782633,-22.4473386659664,-48.3633006758655,111.633551739228
2020-07-02 22:18:44,38.5545110224129,-22.4679776954453,-48.4344007045867,113.772228034515
2020-07-02 22:18:34,38.8125428554883,-22.3810895122811,-48.701616570801,117.714256275702
2020-07-02 22:18:23,38.5107371198277,-22.4691708716128,-48.4147821399283,102.781914246654
