DateTime,Ksed_oxy,RMSE
2020-07-03 10:17:30,4.09331526568673,166.213796341041
2020-07-03 10:17:16,4.12358869717625,143.238372364492
2020-07-03 10:17:02,4.10293029872923,128.079112769265
2020-07-03 10:16:48,4.12764262964515,128.188762955319
2020-07-03 10:16:33,4.12696646780128,129.29571446673
2020-07-03 10:16:19,4.10684835027434,126.185024625108
2020-07-03 10:16:05,4.10857274935033,170.206202706301
2020-07-03 10:15:51,4.08953277509333,131.887346539012
2020-07-03 10:15:36,4.14749998134917,166.146845860081
2020-07-03 10:15:22,4.09854648352131,132.102727825374
2020-07-03 10:15:09,4.09449004179988,148.292050926622
2020-07-03 10:14:55,4.12635897936614,128.086167823965
2020-07-03 10:14:41,4.12252162482022,141.520379138145
2020-07-03 10:14:26,4.11546979268147,153.225005874432
2020-07-03 10:14:12,4.12562404265016,149.048491546713
2020-07-03 10:13:58,4.10866249463919,144.135864070373
2020-07-03 10:13:44,4.10103907041711,133.890709425421
2020-07-03 10:13:30,4.15,146.717274080934
2020-07-03 10:13:15,4.09021393775686,136.394130083905
2020-07-03 10:13:01,4.12871103882418,133.947866236267
2020-07-03 10:03:51,5,135.588182252003
2020-07-03 10:03:37,4.94154161100761,192.661528869412
2020-07-03 10:03:24,4.8256707137811,141.407102389682
2020-07-03 10:03:10,5,135.588182252003
2020-07-03 10:02:55,4.86658360899342,153.917781900577
2020-07-03 10:02:43,4.62039511762681,155.260617508699
2020-07-03 10:02:29,5,135.588182252003
2020-07-03 10:02:16,4.97492119047436,121.600667724817
2020-07-03 10:02:01,4.90228007996703,137.029855783268
2020-07-03 10:01:47,4.99548473298637,126.014906331927
2020-07-03 10:01:34,4.3606517710756,136.7318329607
2020-07-03 10:01:23,4.54347522512786,129.744083269919
2020-07-03 10:01:12,3.56342613655549,129.721399453945
2020-07-03 10:01:01,4.92843635930339,124.383990166694
2020-07-03 10:00:51,5,135.588182252003
2020-07-03 10:00:41,4.80316492003385,131.662630890762
2020-07-03 10:00:30,5,135.588182252003
2020-07-03 10:00:19,4.45652414041587,131.422353514177
2020-07-03 10:00:08,4.2092338024397,189.392158868434
2020-07-03 09:59:57,4.83051609096755,127.649158430443
2020-07-03 09:59:37,5,135.588182252003
2020-07-03 09:59:25,4.5463783254574,123.672097832911
2020-07-03 09:59:15,4.51671232186196,145.985828624694
2020-07-03 09:59:05,3,143.71942138488
