"DateTime","Depth","Observed_OGM_docr","Modeled_OGM_docr"
2014-04-21,0.1,142.381348875937,131.251785953426
2014-04-21,9,157.36885928393,133.673349773978
2014-04-28,0.1,172.356369691923,149.731112195636
2014-04-28,9,142.381348875937,133.535704826102
2014-05-05,0.1,142.381348875937,174.896140774487
2014-05-05,5,134.88759367194,136.67087616338
2014-05-05,9,134.88759367194,133.48653043843
2014-05-12,0.1,142.381348875937,175.508886216247
2014-05-12,9,134.88759367194,133.489276029013
2014-05-19,0.1,149.875104079933,169.519328012664
2014-05-19,5,134.88759367194,140.945598819654
2014-05-19,9,134.88759367194,133.517558546673
2014-05-26,0.1,142.381348875937,168.421349872425
2014-05-26,5,157.36885928393,142.309189417613
2014-05-26,9,149.875104079933,133.552328467694
2014-06-02,0.1,142.381348875937,170.022275826435
2014-06-02,9,149.875104079933,133.566089956013
2014-06-09,0.1,142.381348875937,170.9977372638
2014-06-09,5,172.356369691923,144.172971310057
2014-06-09,9,157.36885928393,133.641268765878
2014-06-16,0.1,164.862614487927,166.469925652003
2014-06-16,9,134.88759367194,133.710671928731
2014-06-23,0.1,149.875104079933,163.961975856671
2014-06-23,9,157.36885928393,133.737787342299
2014-06-29,0.1,172.356369691923,164.410755415084
2014-06-29,5,134.88759367194,145.810814731975
2014-06-29,9,217.318900915903,133.773158520097
2014-06-30,0.1,149.875104079933,165.307528155672
2014-06-30,5,142.381348875937,145.870204934173
2014-06-30,9,142.381348875937,133.778955674659
2014-07-07,0.1,134.88759367194,164.993401291818
2014-07-07,5,142.381348875937,146.278797365121
2014-07-07,9,149.875104079933,133.790259855243
2014-07-14,0.1,179.85012489592,168.186509967782
2014-07-14,5,149.875104079933,146.791743569369
2014-07-14,9,149.875104079933,133.82746630995
2014-07-21,0.1,172.356369691923,173.725663591933
2014-07-21,5,307.243963363863,147.065598076149
2014-07-21,9,142.381348875937,133.83355367667
2014-07-28,0.1,179.85012489592,178.130619409494
2014-07-28,5,127.393838467943,147.547641226025
2014-07-28,9,149.875104079933,133.852023690423
2014-08-04,0.1,157.36885928393,178.623905699908
2014-08-04,5,134.88759367194,148.267137057293
2014-08-04,9,164.862614487927,133.898298827602
2014-08-11,0.1,164.862614487927,177.935707890732
2014-08-11,5,119.900083263947,148.78015107743
2014-08-11,9,209.825145711907,133.886588743628
2014-08-18,0.1,179.85012489592,181.538073479931
2014-08-18,5,149.875104079933,149.721216976048
2014-08-18,9,217.318900915903,133.951076253356
2014-08-25,0.1,179.85012489592,177.787578640335
2014-08-25,5,119.900083263947,150.326740564285
2014-08-25,9,142.381348875937,133.958754455531
2014-09-03,0.1,157.36885928393,176.509985147796
2014-09-03,5,149.875104079933,151.186094993756
2014-09-03,9,142.381348875937,133.998161856988
2014-09-08,0.1,194.837635303913,174.6168352778
2014-09-08,5,142.381348875937,151.47579808234
2014-09-08,9,142.381348875937,133.989931564622
2014-09-15,0.1,194.837635303913,175.599697618687
2014-09-15,5,119.900083263947,151.983076181128
2014-09-15,9,157.36885928393,134.005444473786
2014-09-22,0.1,164.862614487927,174.702673803702
2014-09-22,5,134.88759367194,151.691860846823
2014-09-22,9,127.393838467943,134.110667669188
2014-09-29,0.1,179.85012489592,171.970004822124
2014-09-29,5,179.85012489592,156.574522841126
2014-09-29,9,157.36885928393,134.331280187155
2014-10-06,0.1,194.837635303913,168.538472407268
2014-10-06,5,172.356369691923,167.462066391487
2014-10-06,9,112.40632805995,135.122932150509
2014-10-15,0.1,202.33139050791,169.058151009841
2014-10-15,5,187.343880099917,173.390344096985
2014-10-15,9,157.36885928393,137.045752246674
2014-10-23,0.1,157.36885928393,177.120779069922
2014-10-23,5,172.356369691923,177.1207079788
2014-10-23,9,164.862614487927,162.739378235074
