Fsed_rsi,Ksed_rsi,theta_sed_rsi
-103265.172181886,106126.094354894,23759.4338990936
-29010.6411233992,98871.4452350908,13139.3032669529
-53157.6706618052,-78608.5934657008,11688.9291365886
