Fsed_oxy,Fsed_oxy,Ksed_oxy,theta_sed_oxy,Rdom_minerl,Rpom_hydrol,Rdomr_minerl,Rcpom_bdown
-18697774.1829515,-7621642.05820136,-4908649.18886171,-3359584.07921688,11325878.8749046,0,11350832.0902872,1304108.48354724
-29866998.4122095,-512838.375325422,1909816.92227912,-992734.90916902,11634364.2975187,0,-10782846.0997869,12717368.0384982
-28587788.3386682,-8185420.30048924,2168798.95710126,-1292942.34780644,-11329780.3667793,0,4577831.19710483,1431949.68845624
