Rdom_minerl,Rpom_hydrol,theta_minerl,theta_hydrol,Kdom_minerl,Kpom_hydrol,Rdomr_minerl,Rcpom_bdown,w_pom,sedimentOMfrac,Fsed_doc
-27653.63890314,0,-268415.613670433,-327957.258448062,-49777.8543655171,285886.093682357,-6727485.50254729,-126328.948153391,0,0,-133690.266359149
-136607.252606263,0,-114285.3433485,-227960.693034212,62507.6804538251,5710.20884527774,8744620.38920827,300055.787064201,0,0,-256144.996135768
-43106.9688772966,0,230504.213428668,63732.9026190676,-1419.32500056685,-188942.269402386,8473321.96123043,-118322.255481709,0,0,234972.490871318
