"Variable","t-value","df","p-value"
"TOC_TN","-16.14","6","3.59806599249032e-06"
"TOC_TP","-3.08","6","0.0217221706509133"
"DOC_DIN","-12.36","6","1.70866628453622e-05"
"DOC_NH4","-11.76","6","2.28168520138319e-05"
"DOC_DRP","-6.69","6","0.000540789208204297"
"TN_TP","6.45","6","0.00065688104109002"
"DIN_DRP","4.36","6","0.00474758308751"
"-99","-99","-99","-99"
