"DateTime","Depth","TOT_tn"
2013-05-16,0.1,12.6641547372807
2013-05-16,0.8,12.6994391035843
2013-05-16,1.6,12.7245592342047
2013-05-16,2.8,12.771692163097
2013-05-16,3.8,12.9491070748515
2013-05-16,5,13.1498967182865
2013-05-16,6.2,13.2444143849874
2013-05-16,8,13.2453481935835
2013-05-16,9,13.2453632395752
2013-05-17,0.1,12.1693979827069
2013-05-17,0.8,12.1871277262512
2013-05-17,1.6,12.2306311442505
2013-05-17,2.8,12.7411006181261
2013-05-17,3.8,12.9065947124305
2013-05-17,5,13.0795501948954
2013-05-17,6.2,13.2636421054916
2013-05-17,8,13.2656807248071
2013-05-17,9,13.2656952897477
2013-05-18,0.1,11.4937731053245
2013-05-18,0.8,11.6679125436789
2013-05-18,1.6,12.0964100201941
2013-05-18,2.8,12.5203707054435
2013-05-18,3.8,12.8359247123325
2013-05-18,5,13.0477327940586
2013-05-18,6.2,13.2769756258158
2013-05-18,8,13.2794029984897
2013-05-18,9,13.2794171227008
2013-05-19,0.1,11.0328456730013
2013-05-19,0.8,11.2666395076698
2013-05-19,1.6,11.8459170872343
2013-05-19,2.8,12.2977194101964
2013-05-19,3.8,12.7096903911618
2013-05-19,5,12.9880109329603
2013-05-19,6.2,13.276275394099
2013-05-19,8,13.2794474297762
2013-05-19,9,13.2794611671086
2013-05-20,0.1,10.8349344537796
2013-05-20,0.8,11.0715095138922
2013-05-20,1.6,11.6521634239275
2013-05-20,2.8,12.0629151967335
2013-05-20,3.8,12.5426414710908
2013-05-20,5,12.9036624299984
2013-05-20,6.2,13.2559745450743
2013-05-20,8,13.2600165981946
2013-05-20,9,13.2600297502221
2013-05-21,0.1,11.0428317619854
2013-05-21,0.8,11.0442589440449
2013-05-21,1.6,11.0673692348219
2013-05-21,2.8,11.9859644148706
2013-05-21,3.8,12.3577625891693
2013-05-21,5,12.7822919460102
2013-05-21,6.2,13.2158661625458
2013-05-21,8,13.2211497679332
2013-05-21,9,13.2211624635094
2013-05-22,0.1,11.0830995677238
2013-05-22,0.8,11.089447906155
2013-05-22,1.6,11.0933452817505
2013-05-22,2.8,11.633599365151
2013-05-22,3.8,12.1702829001515
2013-05-22,5,12.6415046956058
2013-05-22,6.2,13.1403911983828
2013-05-22,8,13.1467532095899
2013-05-22,9,13.1467654601882
2013-05-23,0.1,10.9081076295234
2013-05-23,0.8,10.9133717849
2013-05-23,1.6,10.9131907140234
2013-05-23,2.8,11.452407338776
2013-05-23,3.8,11.9735799120721
2013-05-23,5,12.4801077078465
2013-05-23,6.2,13.0289898626193
2013-05-23,8,13.0363249846676
2013-05-23,9,13.0363368194181
2013-05-24,0.1,10.8677217288964
2013-05-24,0.8,10.8727342555871
2013-05-24,1.6,10.8754905707454
2013-05-24,2.8,11.3414909658463
2013-05-24,3.8,11.83956706826
2013-05-24,5,12.3174882344396
2013-05-24,6.2,12.8796714230311
2013-05-24,8,12.8873198197678
2013-05-24,9,12.8873311730267
2013-05-25,0.1,10.9234336852902
2013-05-25,0.8,10.9270309037895
2013-05-25,1.6,10.9282011777338
2013-05-25,2.8,10.9390664625957
2013-05-25,3.8,11.6440706390032
2013-05-25,5,12.1809039393485
2013-05-25,6.2,12.7072093301736
2013-05-25,8,12.7140903001348
2013-05-25,9,12.7141011471814
2013-05-26,0.1,10.9228657317348
2013-05-26,0.8,10.9262840242149
2013-05-26,1.6,10.9270549252154
2013-05-26,2.8,10.9372791587075
2013-05-26,3.8,11.5677470636101
2013-05-26,5,12.079131002916
2013-05-26,6.2,12.5926579251265
2013-05-26,8,12.5988574346019
2013-05-26,9,12.598867826009
2013-05-27,0.1,10.9164584782182
2013-05-27,0.8,10.9194390819433
2013-05-27,1.6,10.918578842201
2013-05-27,2.8,10.9310380071382
2013-05-27,3.8,11.5521442201841
2013-05-27,5,12.0182107424707
2013-05-27,6.2,12.5196127721944
2013-05-27,8,12.5250958747341
2013-05-27,9,12.5251058508764
2013-05-28,0.1,10.9111828913776
2013-05-28,0.8,10.9145764951315
2013-05-28,1.6,10.9164687814673
2013-05-28,2.8,10.9274721472328
2013-05-28,3.8,11.543762043037
2013-05-28,5,11.9809834428381
2013-05-28,6.2,12.4577571642232
2013-05-28,8,12.4622945625856
2013-05-28,9,12.4623041549937
2013-05-29,0.1,10.8739108435407
2013-05-29,0.8,10.875132763359
2013-05-29,1.6,10.8781362358424
2013-05-29,2.8,11.0752998287928
2013-05-29,3.8,11.5630815388946
2013-05-29,5,11.9700619357274
2013-05-29,6.2,12.41733089201
2013-05-29,8,12.4208465069742
2013-05-29,9,12.4208557407339
2013-05-30,0.1,10.8912187223342
2013-05-30,0.8,10.896219047796
2013-05-30,1.6,10.9086489582333
2013-05-30,2.8,10.9271615569238
2013-05-30,3.8,11.5822886251626
2013-05-30,5,11.9914810102129
2013-05-30,6.2,12.4077255932923
2013-05-30,8,12.4102028354534
2013-05-30,9,12.4102117150825
2013-05-31,0.1,10.7953534791384
2013-05-31,0.8,10.8320819303776
2013-05-31,1.6,10.9211069487371
2013-05-31,2.8,11.0837256522053
2013-05-31,3.8,11.6269183224975
2013-05-31,5,12.0242423421402
2013-05-31,6.2,12.420674353608
2013-05-31,8,12.4223962014421
2013-05-31,9,12.4224047187227
2013-06-01,0.1,10.8256577748341
2013-06-01,0.8,10.8270799128432
2013-06-01,1.6,10.830527998363
2013-06-01,2.8,11.1743191633673
2013-06-01,3.8,11.6846427844209
2013-06-01,5,12.0769814443377
2013-06-01,6.2,12.4529755399376
2013-06-01,8,12.4539078084553
