"Variable","t-value","df","p-value"
"TOC","11.56","6","2.51658715337281e-05"
"DOC","11.83","6","2.20752184238423e-05"
"TN","21.19","6","7.20170897509912e-07"
"DIN","8.74","6","0.000124471116820659"
"NH4","6.5","6","0.000629982298150058"
"NO3","-4.78","6","0.00307790700410127"
"TP","5.95","6","0.00100375404463054"
"FRP","8.99","6","0.000106148827904953"
