DateTime,Depth_m,Reservoir,ch4_umolL,co2_umolL
2015-07-09,0.1,BVR,0.362349521,7.73122619
2015-07-09,0.1,BVR,0.482017571,8.17735119
2015-07-09,6,BVR,0.107700511,90.10046331
2015-07-09,6,BVR,0.108830158,93.00077791
2015-07-09,11,BVR,274.1064728,179.3797895
2015-07-09,11,BVR,,111.193148
2015-09-04,0.1,BVR,0.785898786,30.29208723
2015-09-04,0.1,BVR,2.790191004,31.46045421
2015-09-04,3,BVR,0.892536689,25.61788601
2015-09-04,3,BVR,0.386212828,23.84659685
2015-09-04,6,BVR,0.075946994,122.409924
2015-09-04,6,BVR,0.036896304,98.0569848
2015-09-04,9,BVR,210.928623,143.3338456
2015-09-04,9,BVR,,197.9083714
2015-09-04,11,BVR,,211.9623014
2015-09-04,11,BVR,330.5645301,172.3523781
2015-09-18,0.1,BVR,0.363580366,14.0646587
2015-09-18,0.1,BVR,0.315992037,11.22858632
2015-09-18,3,BVR,0.461177302,15.41537692
2015-09-18,3,BVR,0.472956528,12.9450374
2015-09-18,6,BVR,0.345755299,48.11986431
2015-09-18,6,BVR,0.099673809,42.0119774
2015-09-18,9,BVR,263.1585582,219.6588901
2015-09-18,9,BVR,278.5894654,217.3437976
2015-09-18,11,BVR,,250.6188363
2015-09-18,11,BVR,329.4994439,188.7990439
2015-10-02,0.1,BVR,0.246465381,23.54836422
2015-10-02,0.1,BVR,0.256639136,21.59776463
2015-10-02,3,BVR,0.249129276,19.73820983
2015-10-02,3,BVR,0.264921903,19.46401979
2015-10-02,6,BVR,0.261125041,28.7111007
2015-10-02,6,BVR,0.219886589,37.73719413
2015-10-02,9,BVR,137.9791113,191.1069205
2015-10-02,9,BVR,122.5238174,246.4211372
2015-10-02,11,BVR,301.7275218,191.267378
2015-10-02,11,BVR,293.2716571,212.3805726
2015-10-23,0.1,BVR,0.017218641,16.20673927
2015-10-23,0.1,BVR,0.061925791,17.79752381
2015-10-23,3,BVR,0.29734196,19.57967225
2015-10-23,3,BVR,0.014818342,18.14935475
2015-10-23,6,BVR,0.279959602,27.92294502
2015-10-23,6,BVR,0.007766898,28.30223974
2015-10-23,9,BVR,287.4490364,591.4815238
2015-10-23,11,BVR,339.4758123,144.9713978
2015-10-23,11,BVR,393.631181,264.0827533
2016-04-06,0.1,BVR,0.039701696,17.06123662
2016-04-06,0.1,BVR,0.037183317,14.37767194
2016-04-06,3,BVR,0.034803126,13.08747949
2016-04-06,3,BVR,0.033534549,12.4888021
2016-04-06,6,BVR,0.016797622,29.60626173
2016-04-06,6,BVR,0.016484112,27.8022998
2016-04-06,9,BVR,0.008572477,10.74281741
2016-04-06,9,BVR,0.008677089,40.89198468
2016-04-06,11,BVR,0.004945066,55.07651375
2016-04-06,11,BVR,0.005782311,58.5484766
2016-04-20,0.1,BVR,0.121713878,10.87008715
2016-04-20,0.1,BVR,0.186020931,9.771151357
2016-04-20,3,BVR,0.110085764,7.83619595
2016-04-20,3,BVR,0.118761357,8.915797259
2016-04-20,6,BVR,0.02345991,19.96225413
2016-04-20,6,BVR,0.02606683,16.56548519
2016-04-20,9,BVR,0.011834611,51.58425899
2016-04-20,9,BVR,0.013156964,44.51876056
2016-04-20,9,BVR,0.120691354,58.47821704
2016-04-20,9,BVR,0.009658076,35.23007187
2016-04-20,11,BVR,0.015466333,53.2081975
2016-04-20,11,BVR,0.013006328,72.92826091
2016-04-20,300,BVR,69.62562427,204.2999412
2016-05-04,0.1,BVR,0.172432168,13.30994226
2016-05-04,0.1,BVR,0.177196714,10.57506867
2016-05-04,3,BVR,0.316684521,11.44818106
2016-05-04,3,BVR,0.218849899,7.591159226
