Reservoir,Site,DateTime,Depth_m,DRSI_mgL,Flag_DRSI
BVR,50,2014-04-16 12:00:00,0.1,4.316594,0
BVR,50,2014-04-16 12:00:00,4,4.161904,0
BVR,50,2014-04-16 12:00:00,8,5.516232,0
BVR,50,2014-04-16 12:00:00,12,3.113392,0
BVR,50,2014-04-30 12:00:00,0.1,0,4
BVR,50,2014-04-30 12:00:00,4,3.969002,0
BVR,50,2014-05-14 12:00:00,0.1,4.804389,0
BVR,50,2014-05-14 12:00:00,4,7.605824,0
BVR,50,2014-05-14 12:00:00,8,1.967992,0
BVR,50,2014-05-14 12:00:00,12,1.967992,0
BVR,50,2014-05-29 12:00:00,0.1,6.571912,0
BVR,50,2014-05-29 12:00:00,4,10.128018,0
BVR,50,2014-05-29 12:00:00,12,1.813742,0
BVR,50,2014-06-04 12:00:00,0.1,5.419934,0
BVR,50,2014-06-04 12:00:00,4,8.97604,0
BVR,50,2014-06-04 12:00:00,8,3.987152,0
BVR,50,2014-06-04 12:00:00,12,3.616838,0
BVR,50,2014-06-18 12:00:00,0.1,3.616838,0
BVR,50,2014-06-18 12:00:00,4,4.668644,0
BVR,50,2014-06-18 12:00:00,12,3.59396,0
BVR,50,2014-06-25 12:00:00,0.1,8.425094,0
BVR,50,2014-06-25 12:00:00,4,3.817182,0
BVR,50,2014-06-25 12:00:00,12,4.099349,0
BVR,50,2014-07-02 12:00:00,0.1,5.647296,0
BVR,50,2014-07-02 12:00:00,4,4.773536,0
BVR,50,2014-07-02 12:00:00,8,3.943464,0
BVR,50,2014-07-02 12:00:00,12,2.458072,0
BVR,50,2014-07-09 12:00:00,0.1,8.530704,0
BVR,50,2014-07-09 12:00:00,4,4.24928,0
BVR,50,2014-07-09 12:00:00,8,2.807576,0
BVR,50,2014-07-09 12:00:00,12,3.200768,0
BVR,50,2014-07-16 12:00:00,0.1,3.8124,0
BVR,50,2014-07-16 12:00:00,4,2.763888,0
BVR,50,2014-07-16 12:00:00,8,6.040488,0
BVR,50,2014-07-16 12:00:00,12,2.982328,0
BVR,50,2014-07-30 12:00:00,4,5.647296,0
BVR,50,2014-07-30 12:00:00,8,2.28332,0
BVR,50,2014-07-30 12:00:00,12,2.632824,0
BVR,50,2014-09-04 12:00:00,0.1,8.574596,0
BVR,50,2014-09-04 12:00:00,4,4.142798,0
BVR,50,2014-09-04 12:00:00,8,4.620737,0
BVR,50,2014-09-04 12:00:00,12,4.229696,0
BVR,50,2014-09-25 12:00:00,0.1,6.966983,0
BVR,50,2014-09-25 12:00:00,4,8.922188,0
BVR,50,2014-09-25 12:00:00,8,4.533839,0
BVR,50,2014-09-25 12:00:00,12,4.968329,0
CCR,50,2014-04-20 12:00:00,0.1,1.627778,0
CCR,50,2014-04-20 12:00:00,5,1.627778,0
CCR,50,2014-04-20 12:00:00,14,1.773584,0
CCR,50,2014-05-02 12:00:00,0.1,1.822186,0
CCR,50,2014-05-02 12:00:00,5,1.724982,0
CCR,50,2014-05-02 12:00:00,14,2.308206,0
CCR,50,2014-05-08 12:00:00,0.1,1.773584,0
CCR,50,2014-05-08 12:00:00,6,2.016594,0
CCR,50,2014-05-08 12:00:00,14,2.599818,0
CCR,50,2014-05-15 12:00:00,0.1,1.627778,0
CCR,50,2014-05-15 12:00:00,6,1.627778,0
CCR,50,2014-05-15 12:00:00,14,1.91939,0
CCR,50,2014-05-27 12:00:00,0.1,1.773584,0
CCR,50,2014-05-27 12:00:00,6,1.579176,0
CCR,50,2014-05-27 12:00:00,14,2.1624,0
CCR,50,2014-06-04 12:00:00,0.1,1.413054,0
CCR,50,2014-06-04 12:00:00,6,1.362968,0
CCR,50,2014-06-04 12:00:00,20,3.817182,0
CCR,50,2014-06-12 12:00:00,0.1,1.46314,0
CCR,50,2014-06-12 12:00:00,6,1.112538,0
CCR,50,2014-06-12 12:00:00,20,1.060056,0
CCR,50,2014-06-26 12:00:00,0.1,1.312882,0
CCR,50,2014-06-26 12:00:00,6,1.413054,0
CCR,50,2014-06-26 12:00:00,20,2.752934,0
CCR,50,2014-07-03 12:00:00,0.1,1.513226,0
CCR,50,2014-07-03 12:00:00,6,1.813742,0
CCR,50,2014-07-03 12:00:00,20,2.71529,0
CCR,50,2014-07-10 12:00:00,0.1,1.312882,0
CCR,50,2014-07-10 12:00:00,6,1.162624,0
CCR,50,2014-07-10 12:00:00,20,2.96572,0
CCR,50,2014-07-24 12:00:00,0.1,1.312882,0
CCR,50,2014-07-24 12:00:00,6,1.563312,0
CCR,50,2014-07-24 12:00:00,20,4.267956,0
CCR,50,2014-08-07 12:00:00,0.1,1.060056,0
CCR,50,2014-08-07 12:00:00,6,1.016368,0
CCR,50,2014-08-07 12:00:00,20,3.200768,0
CCR,50,2014-08-21 12:00:00,0.1,1.016368,0
CCR,50,2014-08-21 12:00:00,6,0.928992,0
CCR,50,2014-08-21 12:00:00,19,3.637648,0
CCR,50,2014-09-05 12:00:00,0.1,0.97268,0
CCR,50,2014-09-05 12:00:00,6,1.016368,0
