time,FLOW,TEMP,SALT,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_pon,OGM_dop,OGM_pop,PHS_frp_ads,CAR_dic,CAR_ch4,SIL_rsi
2013-05-15,0.0093,16.4003,0,287.7195,1.2111,0.7158,0.0601,24.0017,266.9010083,24.0017,10.8754,2.1751,0.6073,1.4171,0.0601,98.4421,1.8747,126.3866
2013-05-16,0.0087,18.3691,0,276.1702,1.183,0.7437,0.0608,23.9855,267.9910554,23.9855,10.8664,2.1733,1.3938,3.2521,0.0608,98.4608,2.0071,126.3866
2013-05-17,0.0098,18.4792,0,275.549,1.1548,0.7716,0.0615,23.9693,266.8828449,23.9693,10.8573,2.1715,1.3224,3.0856,0.0615,98.4795,2.1396,126.3866
2013-05-18,0.0147,18.5892,0,274.9303,1.1266,0.7995,0.0622,23.953,260.7275425,23.953,10.8482,2.1696,1.2511,2.9191,0.0622,98.4981,2.2738,126.3866
2013-05-19,0.0205,18.6993,0,274.3141,1.0985,0.8274,0.0629,23.9368,253.2207135,23.9368,10.8391,2.1678,1.1797,2.7526,0.0629,98.5168,2.416,126.3866
2013-05-20,0.0276,18.8093,0,273.7004,1.0703,0.8553,0.0636,23.9205,243.7801842,23.9205,10.8301,2.166,1.1083,2.5861,0.0636,98.5354,2.5582,126.3866
2013-05-21,0.0174,18.9194,0,273.0891,1.0421,0.8832,0.0643,23.9043,257.7460903,23.9043,10.821,2.1642,1.037,2.4196,0.0643,98.5541,2.7004,126.3866
2013-05-22,0.019,19.9817,0,267.3122,1.014,0.9111,0.065,23.888,255.7303197,23.888,10.8119,2.1624,0.9656,2.2531,0.065,98.5728,2.8427,126.3866
2013-05-23,0.0197,21.0439,0,261.7492,0.9858,0.939,0.0657,23.8718,254.9220602,23.8718,10.8028,2.1606,0.8943,2.0866,0.0657,98.5914,2.9669,126.3866
2013-05-24,0.0118,21.1968,0,260.9656,0.9576,0.9669,0.0664,23.8556,266.2368832,23.8556,10.7938,2.1588,0.911,2.1258,0.0664,98.6101,3.0912,126.3866
2013-05-25,0.0094,21.3496,0,260.1862,0.9295,0.9948,0.0671,23.8393,269.9452071,23.8393,10.7847,2.1569,0.9278,2.1649,0.0671,98.6287,3.2728,126.3866
2013-05-26,0.0086,21.5025,0,259.4108,0.9013,1.0227,0.0678,23.8231,271.4194621,23.8231,10.7756,2.1551,0.9446,2.204,0.0678,98.6474,3.4245,126.3866
2013-05-27,0.0082,21.6553,0,258.6396,0.8731,1.0506,0.0685,23.8068,272.3355946,23.8068,10.7665,2.1533,0.9613,2.2431,0.0685,98.666,3.5762,126.3866
2013-05-28,0.0081,21.8082,0,257.8723,0.845,1.0786,0.0692,23.7906,272.8223405,23.7906,10.7575,2.1515,0.9781,2.2823,0.0692,98.6847,3.7279,126.3866
2013-05-29,0.0081,21.961,0,257.1091,0.8168,1.1065,0.0699,23.7743,273.1636766,23.7743,10.7484,2.1497,0.9949,2.3214,0.0699,98.7034,3.8796,126.3866
2013-05-30,0.0076,22.1139,0,256.3499,0.7886,1.1344,0.0706,23.7581,274.2585616,23.7581,10.7393,2.1479,1.0117,2.3605,0.0706,98.722,4.1704,126.3866
2013-05-31,0.0083,22.4279,0,254.8029,0.7605,1.1623,0.0713,23.7418,273.5434359,23.7418,10.7302,2.146,1.0086,2.3534,0.0713,98.7407,4.4613,126.3866
