Reservoir,Site,Date,Flow_cms,Method,Flag_Flow
FCR,200,2019-02-08,0.03084576,F,0
FCR,200,2019-03-18,0.03343656,F,0
FCR,200,2019-04-01,0.02426208,F,0
FCR,200,2019-04-15,0.15718536,F,0
FCR,200,2019-04-22,0.076788264,F,0
FCR,99,2019-04-29,0.12060936,F,0
FCR,100,2019-04-29,0.23158704,F,0
FCR,101,2019-04-29,0.14133576,F,0
FCR,102,2019-04-29,0.1008126,F,0
FCR,1,2019-04-29,0.1918335,F,0
BVR,100,2019-04-29,0.01761,F,0
BVR,200,2019-04-29,0.00957,F,0
FCR,200,2019-04-29,0.03681984,F,0
FCR,200,2019-05-06,0.0292608,F,0
FCR,200,2019-05-13,0.00042672,F,3
FCR,100,2019-05-13,0.09195816,F,0
FCR,200,2019-05-20,0.006545,F,0
FCR,200,2019-05-27,0.00577,F,0
FCR,1,2019-05-30,0.05113,S,0
FCR,99,2019-05-30,0.0275854,S,0
FCR,100,2019-05-30,0.037759348,S,0
FCR,101,2019-05-30,0.034115104,S,0
FCR,102,2019-05-30,0.01090952,S,0
BVR,100,2019-05-30,0.002615699,S,0
BVR,200,2019-05-30,0.0060461,S,0
FCR,200,2019-06-06,0.01405,V,0
FCR,100,2019-06-10,0.0712125,F,0
FCR,200,2019-06-10,0.02725,F,0
FCR,200,2019-06-17,0.01805,F,0
BVR,100,2019-06-20,0.007360629,S,0
BVR,200,2019-06-20,0.0045931,S,0
FCR,200,2019-06-24,0.01835,F,0
FCR,1,2019-06-27,0.00368925,S,0
FCR,99,2019-06-27,0.0148243,S,0
FCR,100,2019-06-27,0.016705778,S,0
FCR,101,2019-06-27,0.012802242,S,0
FCR,102,2019-06-27,0.0000128,S,0
BVR,200,2019-06-27,0.00451909,S,0
FCR,200,2019-06-27,0.01105,F,0
FCR,200,2019-07-01,0.0089,F,0
FCR,200,2019-07-08,0.009225,F,0
FCR,200,2019-07-15,0.01135,F,0
FCR,1,2019-07-18,0.013062446,S,0
FCR,99,2019-07-18,0.005135225,S,0
FCR,100,2019-07-18,0.005134307,S,0
FCR,101,2019-07-18,0.004274691,S,0
FCR,102,2019-07-18,0.001146158,S,0
BVR,100,2019-07-18,0.004735426,S,0
BVR,200,2019-07-18,0.003221387,S,0
FCR,200,2019-07-18,0.00595,F,0
FCR,200,2019-07-22,0.00635,F,0
BVR,100,2019-07-24,0.009384452,S,0
BVR,200,2019-07-24,0.010486362,S,0
FCR,200,2019-07-29,0.0089,F,0
FCR,200,2019-08-05,0.0054,F,0
FCR,200,2019-08-12,0.0027,F,0
FCR,200,2019-08-19,0.0068,F,0
FCR,1,2019-08-22,0.009762845,S,0
FCR,99,2019-08-22,0.004152117,S,0
FCR,100,2019-08-22,0.004032924,S,0
FCR,101,2019-08-22,0.003163671,S,0
FCR,102,2019-08-22,0.000909201,S,0
BVR,100,2019-08-22,0.00402539,S,0
BVR,200,2019-08-22,0.002061457,S,0
FCR,200,2019-08-22,0.01161,V,5
FCR,200,2019-09-02,0.00594,V,5
FCR,1,2019-10-04,0.003118284,S,0
FCR,99,2019-10-04,0.002155302,S,0
FCR,101,2019-10-04,0.001733591,S,0
FCR,102,2019-10-04,0.001011647,S,0
BVR,100,2019-10-04,0.002258016,S,0
BVR,200,2019-10-04,0.000993843,S,0
FCR,200,2019-10-04,0,V,5
FCR,200,2019-10-30,0,F,3
