time,FLOW,TEMP,SALT,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_poc,OGM_don,OGM_pon,OGM_dop,OGM_pop,PHS_frp_ads,CAR_dic,CAR_ch4,SIL_rsi
2013-05-15,0.0151,7.8473,0,597.51,2.3004,0.0968,0.0526,191.5071,19.1507,11.3833,2.2767,0.1576,0.3677,0.0526,87.594,0.1188,82.0653
2013-05-16,0.0151,7.9724,0,597.51,2.2959,0.1009,0.0529,191.7259,19.1726,11.3713,2.2743,0.2079,0.4851,0.0529,87.6085,0.1185,82.0653
2013-05-17,0.0151,8.1041,0,597.51,2.2914,0.105,0.0531,191.9447,19.1945,11.3593,2.2719,0.202,0.4714,0.0531,87.623,0.1183,82.0653
2013-05-18,0.0151,8.2358,0,597.51,2.2869,0.1092,0.0534,192.1635,19.2163,11.3474,2.2695,0.1961,0.4576,0.0534,87.6375,0.1177,82.0653
2013-05-19,0.0151,8.3674,0,597.51,2.2824,0.1133,0.0536,192.3823,19.2382,11.3354,2.2671,0.1902,0.4439,0.0536,87.652,0.1179,82.0653
2013-05-20,0.0151,8.4991,0,597.51,2.2779,0.1174,0.0539,192.6011,19.2601,11.3234,2.2647,0.1844,0.4302,0.0539,87.6665,0.118,82.0653
2013-05-21,0.0151,8.6308,0,597.51,2.2734,0.1215,0.0541,192.8199,19.282,11.3115,2.2623,0.1785,0.4164,0.0541,87.681,0.1222,82.0653
2013-05-22,0.0151,8.6642,0,597.51,2.2689,0.1257,0.0544,193.0386,19.3039,11.2995,2.2599,0.1726,0.4027,0.0544,87.6955,0.1188,82.0653
2013-05-23,0.0151,8.6976,0,597.51,2.2643,0.1298,0.0546,193.2574,19.3257,11.2875,2.2575,0.1667,0.389,0.0546,87.71,0.1121,82.0653
2013-05-24,0.0151,8.7684,0,597.51,2.2598,0.1339,0.0549,193.4762,19.3476,11.2756,2.2551,0.1823,0.4253,0.0549,87.7245,0.1054,82.0653
2013-05-25,0.0151,8.8392,0,597.51,2.2553,0.138,0.0551,193.695,19.3695,11.2636,2.2527,0.1978,0.4616,0.0551,87.739,0.1,82.0653
2013-05-26,0.0151,8.9101,0,597.51,2.2508,0.1422,0.0553,193.9138,19.3914,11.2516,2.2503,0.2134,0.4979,0.0553,87.7534,0.0958,82.0653
2013-05-27,0.0151,8.9809,0,597.51,2.2463,0.1463,0.0556,194.1326,19.4133,11.2396,2.2479,0.229,0.5342,0.0556,87.7679,0.0916,82.0653
2013-05-28,0.0151,9.0517,0,597.51,2.2418,0.1504,0.0558,194.3514,19.4351,11.2277,2.2455,0.2445,0.5705,0.0558,87.7824,0.0919,82.0653
2013-05-29,0.0151,9.1226,0,597.51,2.2373,0.1545,0.0561,194.5702,19.457,11.2157,2.2431,0.2601,0.6069,0.0561,87.7969,0.0979,82.0653
2013-05-30,0.0151,9.1934,0,597.51,2.2328,0.1587,0.0563,194.789,19.4789,11.2037,2.2407,0.2756,0.6432,0.0563,87.8114,0.1056,82.0653
